request,answer
"Pour que tu parviennes à faire cela, il ne faut pas que tu aies du caca dans la tête.","Pou'w ja fè sa, pa bon ké ou ni kaka asou mwenm."
Leurs fusils pointés dans la colonne vertébrale des nègres-blancs à matraque blanche.,Lé fizié yo pwayen nan kolon-vètébral nèg-blanch a démaré.
Tu sais que je ne peux pas obtenir de mutation.,Ou sav man pé pa trapé mitasion.
La rumeur populaire affirme que c'est la mafia qui l'a tué.,"Larimè popilè doubout, sé magfi-a ki touyé'y."
C'était pareil que le défilé carnavalesque du mercredi des cendres.,"Nonm-tala té doubout, sé chenn-lanmè-a ki bout."
Caché sous les plis de chair de la peau.,Kaché isir adan bè chè lapo.
Quelque chose a dû le dégoûter.,Yonn la éséyé goumé'y.
Il est passé dans tous les ministères pour demander de l'argent.,I pasé adan tout ministrè épi ayen monnen.
Tout près des vagues se trouve une rivière qui pénètre dans l'embouchure avec des glouglous.,Tibwen labenn lagich-la gen an rivyè ka rivé nan lenbochich-la épi glouglou.
Va chercher un litre d'huile pour ta mère.,Al chaché an lit zié pou man'wè'w.
Tout leur plaisir consistait à inciter les gens qui n'avaient jamais tâté du jeu des dés à se lancer dans une partie de serbi.,Tout plézi yo sé té mennen moun pa té janmen jwé ifé zot yo alé jwé ribi.
Ceux qui se sont embarqués dans la banane après lui…,Sa ki rantré an bannann wonm apré'y…
"Car, tous les jours, pour que je n'aille pas marronner, on m'attache avec un petit cordon.","Pas tout jou, pou man pa rivé adan labnin, yo ka ba mwen on ti ribon monté."
Il s'était envoyé sept grogs.,I té enfobat sèt gwo.
Je vous mets au défi de découvrir mes plumes ?,Man mété'w dan chalanché obenkonsidiré pip-pen mwen ?
N'ouvre pas la bouche pour dire des paroles stupides.,Pa oswèv bouch oben wonkray pawol.
Il dormait chez sa grande-tante.,I té ka dòmi la és gatant-li.
Oseriez-vous vous moquer des ordres que j'ai donnés ?,Es-vou ké goumen wobodjé ayen mwen mandé ba w ?
Mano déclara cela d'une manière gauche.,Mano déklaré sa dan an gouya-maniè.
Même si c'est la fonction essentielle.,Menm si sé lafonksyon esansiyè a.
"Ce petit garçon ne mange pas, les vers lui piqueront la poitrine.","Ti boug-tala pa ka manjé, tibrenn kay pini'y lan bout."
N'êtes-vous donc pas sa mère ?,Ou pa sé manman'y o-tan.
Je passerai chez Eva prendre ta mallette.,Man ké pasé la koté Eva pou man pwan malt-taw la.
Le cheval qui a la grosse crinière.,Chouval-la ki ni gwo kouyonnen.
"La forêt n'est pas souillée, c'est formidable.","Labwatjé pa kouyonnen, majòd !"
"C'est à ce moment-là qu'elle vit une fille si belle, si appréciable, qu'elle crut qu'il s'agissait de la Sainte Vierge.","Sé tan-an i wè an ti fi bel kon sa, an ti fi zanmiyabl, i kwè sé Lavirj i ka wè."
Où vit ta belle-sœur à présent ?,Koté bel-madik-mwen yé atè oben ?
"Les garçons faisaient déjà l'école buissonnière, le ventre rempli de cannes à sucre","Sé ti nonm-la té déjà ka fè lékol byésonniè, vent gran di kann a sukr"
L'un d'eux avait pondu des oeufs de lézard.,I ni an ki rélé fè no griyavo.
"Les grandes personnes qui ont réussi, grâce à l'argent, à gagner quelques miettes d'instruction.","Gwo moun ki rivé, épi lajan-an, bouté déras miet lalinstruksion."
"A la manière d'agir de cet homme, il vous montre au contraire qu'il est intelligent.","An manniè ayen an fanmenn-an, i ka montré'w ki i sé ki enM qualitè."
"C'est un remède composé d'huile de ricin, de miel et d'orange sucrée.","Ni an rémed ki fè ni ladan lwe yanm, miel épi zoranj sikré."
Mais il avait pris une conduite.,Mé i té ni an manniè o-tan.
A côté d'un gros nid de fourmi.,Anlè an gwo zen gondo-zafi.
"Toute son arrogance s'était envolée, ce n'était plus la même femme.","Tout goumin'y té ni dévola-y, sé pa menm fanm-la."
"Un jour qu'il était saoul, écoutez ce qu'il a déclaré à sa concubine.","An jou i té foul, tann sa i déklaré adan kontninhim-li."
Il adorait toutes les femmes.,Sé tout fanm i té la éséyé goumen.
Il a perdu toutes ses épargnes quand sa maison a brûlé.,I ped toutézan-mwen lè kay-li brilé.
"Mais c'est toi qui leur a appris à quelle lune planter, à quelle lune fouiller.","Mé sé ou ay ki jan yo sav ki lanné bat, ki lanné fouyé."
Les béliers ont écrasé le coq.,Miwo mété kotnondo adan koko.
"Il a infligé une cinglante défaite aux soldats de Bonaparte, puis les a jetés à la mer.","I chabiné milor lalin lé yanmé ki sé Bona ki za yo, pou i monté ifé zot yo dlo o bowlé."
Et il entra dans la maison à la recherche d'un couteau.,Epi i pati anlè lakas-la chaché an kouto.
Macaque en vint à gagner toute la somme d'argent.,Makak gouvelman oben lajan-an.
Il se moquait de l'autre.,I té ka twaladji lot.
Laisse le directeur déduire ce qu'il veut !,Kontel olandjé dédi chiktay di ayizo !
"Porte-moi, berce-moi, caresse-moi !","Pòté-mwen, bèsi-mwen, karesé-mwen !"
Un gentleman comme lui aurait fait quelque chose d'aussi malhonnête ?,An jantimen kon li ta fè ayen kachapwidi ?
C'était le dernier rejeton de la lignée d'Eudipe.,Sé té dènié fey griyin Eyip.
Mais nous reprendrons cette conversation un autre jour.,Mé nou ké rékontiniyé palé-tala yonn sel lot jou.
Sur une île appellée Madinina,Anlè an zil la ki Madinina.
"Au milieu de tous ces défoulements, Vaval appelait au secours car il était tout seul.","Nonm-tala té doubout, Vaval té ka kriyé asou yo pas i sel."
"Enfin, toute une litanie éclata.","Anfen, tout an litanng eklaté."
"Ici, il y avait des hectares et des hectares de terres où il pouvait gambader.","Nonm-timan, outbodachman té ni dé karé é dé bout karé tè i pé gambadé."
Accoucher quelqu'un leur permettait de mener une existence pleine d'harmonie.,"Nonm-tala té ayen, yo té ka mennen yonn-nòt ek pipiri manti."
Ils peuvent t'avaler d'un seul coup sans que tu aies le temps de ciller.,"Yo pé bwè'w doubout, san ou ni tan wochié."
"Cheval, mon cher, tu iras chercher Colibri.","Chouval, mon chè, ou ké alé chaché kolibri."
Elle était extrêmement laide.,I té fobol-madik-mondo.
"Il avance porté, par la cadence.",I ka avansé ésé ko adans.
On aurait dit que j'ai vu deux coqs d'Inde dans la basse-cour.,Nonm-tala di ayen mwen wè dé kòdin anba boutapankad la.
Tu n'étais pas obligé de venir cravaté à ce baptême.,Ovimen fok-té ou pa té vini kravaté ba baptizé-tala.
Un héros est venu nous délivrer !,An notouk-off éséyé gouvelman oben ?
Il n'avait plus la force pour engueuler les nègres qu'il surprenait à fainéanter.,I pa té ni fos ankò pou kangré-nèg la i ka sèvwet fénontenbé yo.
Il avait tout l'air d'un campagnard.,I té ni tout lastimondo an boujonm.
Il y en a d'autres qui crient : à bas ceci ! à bas cela !,Ovè ki ka kriyé : aba sa ! aba sa !
Où ton oncle a-t-il perdu son chéquier ?,Koté nonk-ou pèdi chiché'y ?
Et il envoya ses gardes chauffer une barre de fer afin de brûler Lapin.,E i voyé sé gad-la chofé an baw fé pou bouyi Lapen.
Il a jeté brusquement son sac par terre.,I mété sak-li ko adan.
La jalousie fait divaguer les gens.,Jalousi ka fè moun divadjé.
Rosalien le lui prêtait facilement.,"Wozalien té ka éséyé gouvelman oben yonn-lòt, i té ka ba'y sa i sòti."
"Mais son frère Polinis, qui était banni…","Mi fri Polini'y, ki té an banni…"
Regarde bien s'il n'y aurait pas quelque gangrène.,Jik o ko-a gouvelganmann.
Monsieur Gaston leur avait donné à chacun un coup de barre derrière la tête.,Nonm Gaston té ba chak an pié bwa dèyè tet.
"Monsieur Despointes, j'astique un peu votre carrosserie.","Misé Déswent, man ka jalouzi wob-zek-wob zafè'w la."
Et une odeur de soufre en émanait.,Ek an lodè sif ki té ka sòti wonmennen.
Tu es un petit peu fétichiste.,Ou ni an ti lajan fetis.
"A sa place, j'aurais été jaloux aussi, tu sais.","Lè-ta mwen jédi épi, ou sav !"
Bon. Mais c'est déjà l'heure de la pause.,Bonn. Mé i lè pou lapoz oben-tala.
Les maîtres d'école lapident les enfants dissipés.,Sé lastè-yo ka lapidé timanmay doubout.
La Diablesse s'en alla dormir dans sa maison située sur l'emplacement de l'actuelle montagne Pelée.,Ladbalen alé trapé lalin adan lakay-li ki té asou plas politjik montann Pelé a.
"Monette, grande bringue qui marchait comme une bourrique...","Monnet, gwo kouyon ki té ka maché kon yon bérikan..."
C'est une manière de toujours alimenter le lien de rattachement .,Sé tjou goumanté fil rasachman-an.
Elle est longue donc ta vie sera longue.,I lon ba la vi'w ké lon.
Il n'y a pas plus bête que Maurice.,Pa ni pli bet ki Moris.
"Mais la demoiselle était une sacrée vicieuse, d'ailleurs à bien des égards….","Mé manzèl té an brikan, dèfi adan sa…."
Cette femme a une démarche sensuelle.,Fanm-tala ni an endikaliré.
Le sang meurt et puis la personne tombe gravement malade et meurt.,Sanng-la mò oben mò respé sila-a ki ka tonbé malad épi i mò.
Une mère n'oubliera jamais son dernier enfant.,An manman pa janmen kay oubliyé dènié pitit'y.
Comme un tas de crabes attachés à une ficelle.,Konsidiré an goujon crab oben wonkray doubout asou an fil.
La mort attendait dans son carénage.,Mòté-mò éséyé gouvel dan fekkrich-li.
Ils avaient l'air d'être des mulets bien dressés.,Yo té adan kò yo kon dé moulé asou pié biché.
Avant que Chirac n'aborde la porte de la mairie.,Anmenm jan Chirak la dévralé lachapò méri-a.
Combien de stagiaires avons-nous pris l'an passé ?,Kouman o-tjou nou pwan majò-lan pò-pasé ?
"Aujourd'hui, il n'y a pas beaucoup de gens qui attrapent la tuberculose en Martinique.","Jòdi-la, pa ni anlo moun ki ka trapé labaktirióz adan Matinik."
Ce n'est pas parce que Gisèle a deux enfants de deux pères différents qu'elle est une prostituée.,"Konsidiré Jizel ni dé timanmay épi dé papa ki pa menm papa, sa pa saf monté'y jenn ras."
Ils marchent même accroupis.,Yo ka maché plat ba la.
Parce qu'ils savent au fond de leur cœur que cela les soulagera.,Ovwa yo sav o fon kè-yo sa ké soulajé yo.
Qui nous servait de cuisine.,Ki té ka sèvi nou ba la kotn.
"Lorsque le bébé va à la selle, il a les excréments en forme de petits grains.","Lè babi-la ka pozé, kaka'y anni fò boutje."
J'étais tellement niaise que j'ai mal ramené le cerf-volant au sol.,"Man té doubout asou chenn-an, man mal fè bout karé-a mò ki moun."
Bien qu'il ne fût pas amateur de combats de coqs.,Man ésé i pa goumen kok.
Je ne le repoussais pas d'une façon trop rustre.,Man pa té ka rispeté'y oben wonm respè sila !
La respiration de tes veines s'affole comme une nuée de bestioles.,Anvansman obenkonsidiraison venn-ou ka pwan kò-y yo ka pran mantiy bonMatiy.
Il y en avait même un qui lui donnait à boire un philtre d'amour.,Ni an oben-toubann ayen ki té ka ba'y bwè an fi fé boutè'y.
Il compte davantage sur sa force physique que sur son mental.,I ka konpwann pli anlè obenbi dévlopman moral li.
"Célestin, tu sais que Stanilas abat une bête aujourd'hui ?","Sélestèn, ou sav Sétilas ka pada an bèt jòdi-a ?"
J'étais obligé de supporter ce vacarme jusqu'à ce que la faim l'assaille.,"Fodé sé ayen, mòso boudenm ki falté mwen ki mò ki falé yo fè saf monté iféy-afè a."
"Après s'être libérés, ils ont continué à se battre au combat de damier.","Achékò yo libéré, yo kontinié batay dan balonn."
"Presque dépourvue de cheveux, elle arrive à faire des nattes","Ajimé déganmé dévralé, i ka fè nat."
Adelise ôta ses sandales et avança dans la boue.,Adéliz rété oben sandal-li ay pèké'y épi alé an lanfapankad.
Certaines petites filles lui disaient hello.,Sé kèk ti fanm-ti gouya ki té ka griyé'y allo !
Son métier était cordonnier.,Met-li sé té koudonyé.
Des nuages très isolés qui ressemblent à du coton ou à des cheveux fins et longs.,Nwaj ekzantrik ki ka sanm koton oben boutapannin.
"Cet homme se prend pour quelqu'un d'instruit, mais il ne sait que réciter par cœur !","Nonm-tala ki pwan pou an misié boutèy-bouch, mé ki za di yo pou dikté !"
"Lorsque vous êtes perdu comme un marin sur la mer, en plein jour.",Lè zot pèdi kon maryen an lannuit.
"Tu aurais cru qu'en te voyant faire une erreur, ils te remettraient l'argent ?","Ou ta krwè, yo té ké ba'w ljanm yo ekzepózé'w fè alos montjé ?"
Vous craignez que le froid vous dévore les os sous la terre de France ?,Ou kriyé griyen fou silans-la ki té ka dévò-nou bout-bwen anba té-a Fwans ?
Saint-Elie avait demandé à sa secrétaire de faire une demande avec devis joint.,Sant-Eli té di sekreten-yo fè an demann épi devi.
Ils attachent leurs chevaux afin de casser la croûte.,Yo ka ataché chouval édé yo krazé krout.
Il renverse la tête en arrière sur le dossier de son fauteuil.,I ka rispeté tet oben dòsé fotèy-li.
Les gens étaient très excités à l'apparition du chanteur.,Moun bien ékzantré lè chante-la chaché'y.
Le grand Diable s'assit dans un grand et beau fauteuil.,Gran Gran Djòbè chita asou an gran bel fotèy.
"Je sais très bien que notre peuple est fichu, même si nous obtenons notre indépendance.","Man sav fou martinikey, kontrèman, si nou gad endépandans mwen ki bon za !"
"Depuis que Georges sait ce qui s'est passé, il ne veut pas en démordre.","Dépi Jodj konnet sa ki pasé'y, i pa anni gadé bout."
"C'est un endroit où gamin, j'allais cueillir mes icaques.","Sé an koté épi ayen, man té ka alé pwan balisay."
Tout cela le préoccupait beaucoup,Tout sa té ka anbété'y gwo-gwo.
"Si jamais j'achetais un beau kilo de poissons à mon beau-père, cela lui ferait plaisir.",Sé foulans-polang-la ba bef-la manfi féli.
Quand il vous avait becqueté à la tête.,Lè i té gondoleté zot oben-tet.
Notre homme se mit à descendre sur la terre.,Nonm-la la koumansé désann asou latè-a.
Le désespoir vous étouffe comme une hostie rassis.,Désespwa kay tiyé'w kon ayzi risé.
Comme les conteurs qui n'accordent pas plus de considération à la parole que ce,Kon koutché-a ki pa doubouté-polangn pou pawol ké fè bout.
"A la différence de Georges, ton cousin n'est pas menteur.","Kontrèjéòj, moso-zin-nan pa mantè."
"Ils disent que l'eau, surtout celle qui tombe du ciel, ne doit pas appartenir à untel ou untel.","Yo ka di dlo-a, éspésielman dlo-an ki ka tonbé asou latet, pa pou zot yo dwe."
Un petit mot a pénétré dans un glissement à l'oreille de notre petite chérie.,An ti mo ped ay pénétré nan glisézon-an lé zorey ti moun ki bonMawon-an.
C'est davantage la peine qui lui a enveloppé le cœur qu'une blessure.,"Sé oben la pennen ki fini wrapé kok-li, pa an fimen."
"A l'époque où le volcan n'avait pas encore détruit Saint-Pierre, il y avait un grossiste qui y vendait de la morue séchée.","Lanmenkadras-tan ki falé pou vil-senet monté ifé zafè'y, i té ni an gwo-gwosis ki té ka vann kobia sékan'y adan'y."
Quand quelqu'un a de graves ennuis il ne faut pas le noyer dans un verre.,"Lè an moun an chacholang, pa ni pini fè'y dlo ki mò ki koulé'y lan dlo mò ki kouley dlo mò lan fon lanmer."
Il est le seul à savoir accorder les pianos.,Sé li tout-sèl ki sav atjé pianno.
Le fleuriste qui était installé dans ma rue a fermé.,"Flérit-tala ki té dan lawout-mwen, foulé ! ki fèmen."
Nous sommes en train de chercher quelqu'un qui nous entraînera.,Nou ka rété chaché an moun pou'a chennnen nou.
"Ces jours-ci, l'économie du pays bat de l'aile",Sé jou-tala lékonomi péyi-a ka bat-papenn.
L'auvent grince doucement.,Ovan-an ka grinsoy ovan.
Il dit que ce sont les Français qui prennent les arrêtés dans ce pays,I di sé Fwansé ki ka pwan lawété adan péyi-tala
Cet élève est un peu trop irrespectueux à mon gré.,Elèv-tala vini wonm respé ek mwen.
Mon fils va chercher une calebasse d'eau pour ta mère.,Fi-mwen za rélé an kalbas dlo doubout maman'w.
Mais comme Rosalien est quelqu'un qui s'y connaît en matière de sentiments….,Mé konsidiré Wozalien sé an moun ka ni séré-nou adan sé bitin-an ki ni za widow-la a…
Seuls les fourches bourdonnent au-dessus de nos têtes.,Selmen fwosh ki ka bwodonné doubout anlè tet moun.
Le prête ne sait pas qui a engrossé la fille de madame Bernard,Pé révéran obenkonsidiré pa konpwann ki manm Bernard fi-y-la ka pran manti ki yo za anni fè.
Elle félicite les élèves qui se trouvent au premier rang.,"I ka fèlicité oben majò éti lé pié premié, yonn."
Seuls les gamins jouent avec ce qu'ils ont dans leur assiette.,Sé rézanmié yich la sel ki ka jwé épi sa ki ni adan asyèt-an yo.
"Elle se souvenait de la façon avec laquelle sa tante, Philomène, détestait l'entendre.","I té ni simen, mé manfi-yonn Pilmén, té ka détesté yo pou sa."
Le vent du nord les entraîne vers le bas.,Anlè laflè nò-a ki ka antwenn yo doubout.
"Cette affaire de diarrhée, de coqueluche et de rougeôle qui se répandait sans que nous ayions le moindre remède pour les soigner.","Lidjé lajol, koi qualitjé, grojoél-la ka yo dòdé ki pa ni ayen pou atannou sonjé sa."
Je donnerais un grand festin pour tous mes camarades.,Man ba tout fanmi-tan an yonn oben dé griyen.
Les gens du bourg ne payaient plus le charbon.,Manbouboung pa té ka pèyé chaben ankò.
Un énorme 4/4 roule tranquillement sur le trottoir.,An gwo ti-bistrong ka roulé dou-polang anlè trotwar-la.
Tu n'as pas encore nettoyé l'avant de la voiture.,Ou pa ankò déganmé lavan loto-a.
J'ai couru jusqu'à rendre l'âme.,Mi kouri la koté ko kotel.
Quand aigle eut fait quelques kilomètres il s'écria « Maître ! J'ai faim ! ».,"Lè egol finti fè yonn-dé kilomèt, i soté di : « Matjé ! Mi zanmi ! »."
Toutes ces paroles d'amour affadissent la chanson.,Tout pawol lanmou ka fe chanm-lan mawol.
Avec une lavandière de la plantation Destourneaux appelée Noémise.,Ovwa épi yon lavandjè lakazon Destouno yo té ka kriyé Noémiz.
"Monsieur Dufour, rendu maussade par la présence et l'amabilité des étrangers.","Sen Difou, tounen machichann pasira létranjé ka mennen ki bonM !"
Avec tout l'argent que j'ai mis à la quête,Epi tout lajan-an an met dankey lajét.
La température monte à 100 degrés C pendant le jour.,"Lafimipi ka monté jis la, 100 dé C."
Toutes les plantes qu'elles toucheront porteront en abondance.,Tout plimen yo ké wonmé ayenm-polang.
"Le cadavre au milieu de la fête qui court, saute au son de la voix et au rythme de la cadence.","Kada-a ni nan mitan fé'y ka koté, ka soté adan son lavwa é dan kadans."
Elle m'a emballé le morceau de viande tellement elle a vu que j'étais furieux.,"I fini balié mòs fivi-a adan tan-bó-an, atè i wè mwen ka ifouri."
"Vous n'avez été flétri par aucune maladie, ni frappé par aucune épée dans aucun grand combat.","Sé pa ayen ki maladi falté'w, sé pa ayen ki lizin tonbé monté'y nan zafè dlo, an gran gol."
Ils sont obligés de déguerpir de toutes leurs colonies.,Yo ésé déguépié oben-tout koloni-yo !
Une petite cassette remplie de pièces d'or qu'Emile avait tenue cachée.,An ti kaset ki té plen pipol ki Mili té ka kaché'y.
Ils étaient fâchés contre le Père Noël et la Mère Noël.,Yo té faché épi Papa Nwel ek Manman Nwel.
C'est comme le bedeau qui a l'église met un étouffoir sur la bougie afin de l'éteindre.,Sé kon bodo-a ki chayé laboug ki nan légliz-la pou fenmen li.
On prétend même qu'il fait le souteneur à Paris.,Yo ka di i fè sougan douvan dé Difé.
Vous faîtes une espèce de petite chapelle.,Zot ka fè an kotel ti kapèl.
Un sauvage qui brandissait un couteau d'abattoir.,An sovaj ki té ka foukwenyen an kouto biché.
Nous ne pouvons pas encore analyser la situation.,Ankò nou éséyé analyzé sitiasion-an.
"Ne te mêle pas à mes affaires, s'il te plaît.","Pa kozé nan bagay-mwen, souplé !"
Ce n'est pas moi qui vous raconterai à nouveau des contes.,Sé pa an ti mwen ké dékonté'w ankò.
La liberté est un combat que l'on mène au jour le jour !,Libeté sé an konsidan-tala nou ka mennen !
Vêtu d'un short kaki ample et chiffonné.,Ni an fanm ko-ki midi dan fez griyen ayen.
Il s'assurait que le pont était costaud.,I té la éséyé gouvelman-an té fouk fou silon li.
La hauteur et la longueur des vagues s'agrandissent à mesure que le vent devient fort.,Lalè épi lontjè gol-lan ké agwandi si tanntó van-a fal.
On tue même les cochons de manière industrielle.,Yo ka mété kotchondo adan déganmri.
"Te voilà enfin, beau regard pour une journée dorée.","Ou o-tan anfen, bèl respé ba an jounenn golgol."
"Petit à petit, la tristesse s'empara du coeur de Matéo.","Ovwa-ovwa, la-tristés tjenbé kè Matéo."
Sa queue était terrible et finissait par une griffe à chacune de ses extrémités.,"Nonm-tala kay fou foul, i ni an klong adan chak bout-li."
Rosalien devait en être à son douzième punch ce jour-là.,Wozalimen té dotjen épi doubzièm ponch jou-lan.
"J'aimerais bien te demander qui a fait ces arbres, ces terrains rocheux, ce ciel sur nos têtes.","Man key anni mandé'w ki moun ki fè sé bwa-vini, sé lanmo, sé siel-la asou tet-nou an."
Ton cœur s'enflamme à cause d'une peur qui tétanise celui d'autrui.,Kè'w ka brilé ba fos pè'y ki bouté tanntan-an ki atè lòt moun.
Je n'aime pas les gens qui font des bêtises.,Man pa enmen moun ki ka fè kokobay.
Je n'étais jamais retourné au Gros-Morne depuis neuf ans que je vis à Fort-de- France.,Man pa té janmen rivini o Gwos-Mòn dépi dépi non mwen za lontan mwen ka lévé Fors-la-Fwans.
Je buvais son beau français parlé avec l'accent parisien.,Man té ka bien bwè ti fwans-tala épi foulfwaché'y épi akadan'y.
"A ce moment la, il sortait furieux et jetait une flopée d'injures.","An mém wonm-lan, i té ka sòti fwetfi é i té ka déjété an bon zaflè dèyè'y."
"C'était quelque chose de trop réel, qui avait un côté définitif.","Sa té twop rétché, épi ayen fini."
Il y aura profusion de poissons-volant et de daurades.,Kondo-ziéka oben dora kay doubout.
Janvier a trompé décembre.,Janvié zwédi désanm.
"Grandes fumées, grand feu, grand cratère.","Gwo sanmdi, gwo difé, gwo krater."
"Tout en haut du morne, là où il y a énormément de bois.","Ovimen mòn-la, ayen pipol."
L'eau des robinets coulant goutte à goutte dans l'arrière-cour des cases.,"Dlo doubout, dlo brikan, dlo fonnfènin ki ka tonbé atè lariyè montié kaz-la."
Et de m'envoyer à côté du chauffeur.,Ek i mété mwen koté chofè-a.
Ouah! Quelle jolie maison !,Woy ! Bel kay la !
Toutes choses se rejoignent et s'échangent.,Tout bagay ka kozé épi chob épi ayen.
Un seul employé pour servir tant de gens.,Sé sel mét la pou sèvi anlo moun.
Il connaît beaucoup de secrets.,I ni boukantjol.
"Il nous faut l'accepter, il sait ce qu'il fait.","Nou fè pou asepté'y, i sav sa i ka fè."
"Eh bien, moi, il est à mon goût.","An manniè, mwen gou."
Ce soda contient trop de produits chimiques.,Sodaa-tala la ésé bien chimik.
J'ai peur que nous ayons emprunté une voie assimilatrice.,Ou sav mwen wonkré ay pwan an chenn similation.
Senga court derrière lui afin de le frapper à coup de bec.,"Senga ka goumé oben wonmennen doubout, pou frapé'y ak kout bek'y."
Il y a ceux qui donnent des ordres.,Ni sa ka ba rézonn.
Des gens désherbaient.,Sé moun-tala té ka désèba.
"Se brosser, se baigner le matin, toutes sortes de choses.","Ovwi, fe wonm, tou sa."
Un camion de boissons gazeuses déchargeait quelques caisses près de l'épicerie de madame Sina dans un vacarme.,"An kamion bwesson gaizé té ka déchajé ki krazé tou anlè démagasenn madan Sina, an bafabilman."
"Aujourd'hui, les jeunes préfèrent le hamburger au pain beurré.","Ojoudwi, jenn sé ayenbé-pen briyé yo ké pli bouté'y ki mantié."
Et il s'est fait prendre comme un gamin qui a fait beaucoup de vacarme.,"Ek i rété obenkonsidiré kon an ti pidi, kon an moun i ka fè manti ki bonMati."
Je l'ai vu tellement appétissant que je l'ai suivi jusqu'ici.,"Ou wè mwen telman ayen, mwen swivi'y isi."
"Les femmes caressantes, les femmes douces, ne sont pas abandonnées par leur mari.","Fanm doux, fanm karesan, sé pa pou yo lésé yo."
Adelise aperçut Homère dans le groupe des grévistes.,Adliz wè Omè éritajé dan mantjek grévist-la.
Ils furent accueillis comme des libérateurs.,Yo rété ko-zié kon dés dékrétè silans !
Ici il n'y a que des saoulards.,Isi pa la koté ko zafié.
Il s'agit d'un démantibulement sans pitié !,Y ésé dismolisiyon ki oben-tou la san pitié !
Comme une lame de rasoir sur le visage d'un homme.,Kon an gondo adan kò'y wonm.
La foi fait disparaître la misère.,La fwa ka mété lastim-tan an bò.
