request,answer
Tout leur plaisir consistait à inciter les gens qui n’avaient jamais tâté du jeu des dés à se lancer dans une partie de serbi.,Yo té ka pran plézi yo adan sa pou ankourajé moun ki pòkò janmen jwé jé dé pou yo koumansé an pati serbi.
Ceux qui se sont embarqués dans la banane après lui…,Sa ki té anbawke adan fig banann dèyè’y…
"Car, tous les jours, pour que je n'aille pas marronner, on m'attache avec un petit cordon.","Paske, chak jou, pou mwen pa alé fè zanbè, yo ka maré mwen épi on ti kòd."
Il s'était envoyé sept grogs.,I té bwè sèt grog.
Je vous mets au défi de découvrir mes plumes ?,Mwen ka défie'w pou ou dékouvè plim mwen.
N’ouvre pas la bouche pour dire des paroles stupides.,Pa ouvè bouch ou pou di pawòl sòt.
Il dormait chez sa grande-tante.,I té ka dòmi kay tantin li.
Oseriez-vous vous moquer des ordres que j’ai donnés ?,Ou té ké ni lòd pou fè jé épi lòd ki mwen bay la ?
Mano déclara cela d’une manière gauche.,Mano déklaré sa an manniè gòch.
Même si c’est la fonction essentielle.,Menm si sé fonksion esansiel-la.
"Ce petit garçon ne mange pas, les vers lui piqueront la poitrine.","Ti gason-tala pa ka manjé, vè ké pété'y lachèst."
N’êtes-vous donc pas sa mère ?,"Non, ou pa manman'y ?"
Je passerai chez Eva prendre ta mallette.,Mwen kay pasé kay Eva pou chèché valiz aw.
Le cheval qui a la grosse crinière.,Chouval-la ki ni an gwo krinyè.
"La forêt n’est pas souillée, c’est formidable.","La forêt pa sal, sa formidab."
"C’est à ce moment-là qu’elle vit une fille si belle, si appréciable, qu’elle crut qu’il s’agissait de la Sainte Vierge.","Sé lè-tala i wè yon fi telman joli, telman agréyab, i kwè sé té Manman Délivrans lan menm."
Où vit ta belle-sœur à présent ?,Koté bel sè'w ka viv atjelman ?
"Les garçons faisaient déjà l’école buissonnière, le ventre rempli de cannes à sucre","Sé ti gason-an té ja ka fè lekol bwa-sentan, yo té ni vant yo plen kann sik."
L’un d’eux avait pondu des oeufs de lézard.,Yonn adan yo té pondu zé léza.
"Les grandes personnes qui ont réussi, grâce à l’argent, à gagner quelques miettes d’instruction.","Gran moun ki rivé genyen, épi lajan, an ti katjil sav."
"A la manière d'agir de cet homme, il vous montre au contraire qu'il est intelligent.","Pa mannyè misié ka ají-a, i ka moutwé'w okontrè i entèlijan."
"C’est un remède composé d’huile de ricin, de miel et d’orange sucrée.","Sa sé on rimèd ki fèt épi lwil maskrèt, miel ek zoranj dous."
Mais il avait pris une conduite.,Mé i té pran on kondwit.
A côté d’un gros nid de fourmi.,A koté an gwo nich foumi.
"Toute son arrogance s'était envolée, ce n'était plus la même femme.","Tout awogans-li té dispawèt, sa pa té menm fanm-lan ankò."
"Un jour qu’il était saoul, écoutez ce qu’il a déclaré à sa concubine.","An jou i té soul, kouté sa i di a konpagn li."
Il adorait toutes les femmes.,I té ka adoré tout fanm-la.
Il a perdu toutes ses épargnes quand sa maison a brûlé.,I pèdi tout sé économie'y lè kay-li pran difé.
"Mais c’est toi qui leur a appris à quelle lune planter, à quelle lune fouiller.","Mé sé ou ki aprann yo a ki lalin pou yo planté, a ki lalin pou yo fouyé."
Les béliers ont écrasé le coq.,Bélier-la fini ékrazé kòk-la.
"Il a infligé une cinglante défaite aux soldats de Bonaparte, puis les a jetés à la mer.","I sévè ba sòlda Bonapat yonndé zing kou, apré i jété yo an lanmè."
Et il entra dans la maison à la recherche d’un couteau.,I té antwé adan kay-la pou chèché on kouto.
Macaque en vint à gagner toute la somme d’argent.,Makak vini pou genyen tout lajan-an.
Il se moquait de l’autre.,I té ka fouté palé asou lòt la.
Laisse le directeur déduire ce qu’il veut !,Kité direktè-a dédui sa i vlé !
"Porte-moi, berce-moi, caresse-moi !","Pòté mwen, berse mwen, karesé mwen !"
Un gentleman comme lui aurait fait quelque chose d’aussi malhonnête ?,On jantiman kon li té ké fè on bagay osi malonnèt ?
C’était le dernier rejeton de la lignée d’Eudipe.,Sé té dèniyé pitit lafanmi Eudipe.
Mais nous reprendrons cette conversation un autre jour.,Mé nou kay ripran sa palé-a on lòt jou.
Sur une île appellée Madinina,Anlè yonn il ki kriyé Madinina
"Au milieu de tous ces défoulements, Vaval appelait au secours car il était tout seul.","An mitan tout sé débodman-tala, Vaval té ka mandé sèkou paskè i té tout sel."
"Enfin, toute une litanie éclata.","Anfen, tout yon letani pete."
"Ici, il y avait des hectares et des hectares de terres où il pouvait gambader.","Isi, té ni dèktè épi dèktè tè koté i té pé kouri lawonn san pwoblèm."
Accoucher quelqu'un leur permettait de mener une existence pleine d'harmonie.,Fè yich pou an moun ka ba yo lavi plen armoni.
Ils peuvent t’avaler d’un seul coup sans que tu aies le temps de ciller.,Yo pé avalé'w an yonn déglitisan san ou menm ni tan bat zié'w.
"Cheval, mon cher, tu iras chercher Colibri.","Chouval, mi chè, ou kay chaché Kolibri."
Elle était extrêmement laide.,I té la èkstrèman lèd.
"Il avance porté, par la cadence.","I ka vansé pòté, pa kadans-la."
On aurait dit que j’ai vu deux coqs d’Inde dans la basse-cour.,Mwen té ka kwè mwen wè dé dindon an lakou-a.
Tu n’étais pas obligé de venir cravaté à ce baptême.,Ou pa té oblijé vini ak kravat ba baten an.
Un héros est venu nous délivrer !,An éwo vini délivré nou !
Il n'avait plus la force pour engueuler les nègres qu'il surprenait à fainéanter.,I pa té ni fos ankò pou i té sa kwiéyé nèg yo i té ka trapé ka pwan fè atjelman.
Il avait tout l’air d’un campagnard.,I té ni tout manniè an nèg lakanpay.
Il y en a d'autres qui crient : à bas ceci ! à bas cela !,Ni dòt ka kriyé : abà sa ! abà lot !
Où ton oncle a-t-il perdu son chéquier ?,Koté tonton'w la pèdi chékié’y ?
Et il envoya ses gardes chauffer une barre de fer afin de brûler Lapin.,I té voyé gad li yo chofé an ba fè pou yo té sa brilé Lapen.
Il a jeté brusquement son sac par terre.,I té jété sak li atè bwapatat.
La jalousie fait divaguer les gens.,Lajalouzi ka fè moun divagé.
Rosalien le lui prêtait facilement.,Rozaljyen té ka préyé'y fasilman.
"Mais son frère Polinis, qui était banni…",Mé fwè'y Polinis ki té banni...
Regarde bien s’il n’y aurait pas quelque gangrène.,Gadé byen si pa ni an ti gangrèn.
Monsieur Gaston leur avait donné à chacun un coup de barre derrière la tête.,Misie Gaston té ba yo chak yonn an kou bar dèyè tèt.
"Monsieur Despointes, j'astique un peu votre carrosserie.","Misie Despointes, man ka féyé on ti pe kò-a machin aw."
Et une odeur de soufre en émanait.,Épi on lodè souf té ka sòti adan'y.
Tu es un petit peu fétichiste.,Ou ni on ti manniè fétichis.
"A sa place, j’aurais été jaloux aussi, tu sais.","An plas li, mwen té ké jalou osi, ou sav."
Bon. Mais c’est déjà l’heure de la pause.,Bon. Mé ja lè pou fè on ti poz.
Les maîtres d’école lapident les enfants dissipés.,Sé mèt lékol ka woché sé timanmay ki ka fè dezòd.
La Diablesse s’en alla dormir dans sa maison située sur l’emplacement de l’actuelle montagne Pelée.,La Djablès-la alé dòmi an kay-li ki té yé asou plas koté jòdi jou ni Mòn Pelé-a.
"Monette, grande bringue qui marchait comme une bourrique...","Monette, gran tjak ki té ka maché kon an boutou..."
C'est une manière de toujours alimenter le lien de rattachement .,Sa sé on manniè pou toujou nouri lyen ki ka rataché nou.
Elle est longue donc ta vie sera longue.,"I sé lontan, kon sa lavi'w ké lontan."
Il n’y a pas plus bête que Maurice.,Pa ni pyès moun ki pli bèt pasé Moris.
"Mais la demoiselle était une sacrée vicieuse, d’ailleurs à bien des égards….","Mé madmwazèl-lan té en gran kochon, d'ayè adan anlo bagay…"
Cette femme a une démarche sensuelle.,Nonm-tala ni on mache sanswèl.
Le sang meurt et puis la personne tombe gravement malade et meurt.,San-an ka mò ek apre moun-an ka tonbé malad grav épi i ka mò.
Une mère n’oubliera jamais son dernier enfant.,"En créole martiniquais, cela se traduit par :\n""An manman pé ké janmen bliyé dènyé ich li."""
Comme un tas de crabes attachés à une ficelle.,Tankon an pil krab maré épi an fik.
La mort attendait dans son carénage.,Lanmò té ka espéré an kachet li.
Ils avaient l'air d'être des mulets bien dressés.,Yo té sanm dé milé ki té byen dresé.
Avant que Chirac n’aborde la porte de la mairie.,Avan ki Chirac té rivé douvan pòt méri-a.
Combien de stagiaires avons-nous pris l’an passé ?,Konmen stajyè nou té pran lanné pasé ?
"Aujourd’hui, il n’y a pas beaucoup de gens qui attrapent la tuberculose en Martinique.","Jòdi jou, pa ni anchay moun ka trapé la tibèkiloz an Matinik."
Ce n’est pas parce que Gisèle a deux enfants de deux pères différents qu’elle est une prostituée.,Sé pa pas Gisèle ni dé ti-moun epi dé papa diféran ki ka fè'y sé an pwostitié.
Ils marchent même accroupis.,Yo ka maché menm ayenfouté.
Parce qu’ils savent au fond de leur cœur que cela les soulagera.,Paskè yo sav an fon kè yo sa ké soulaje yo.
Qui nous servait de cuisine.,Kiyès ki té ka sèvi nou kwizin.
"Lorsque le bébé va à la selle, il a les excréments en forme de petits grains.","Lè ti bébé-a ka fè poupou, i ni poupou'y an fòm ti grenn."
J'étais tellement niaise que j'ai mal ramené le cerf-volant au sol.,Mwen té tèlman bétjé ki mwen pòté sèvolan-an mal atè.
Bien qu’il ne fût pas amateur de combats de coqs.,Menm si i pa té ka renmen konba kok.
Je ne le repoussais pas d’une façon trop rustre.,Mwen pa té ka pousé'y twò brital.
La respiration de tes veines s’affole comme une nuée de bestioles.,Zafè san'w ka bout kon an bann ti bèt ka ajité.
Il y en avait même un qui lui donnait à boire un philtre d’amour.,Té ni menm yonn ki té ka ba li bwè an dlo lanmou.
Il compte davantage sur sa force physique que sur son mental.,I ka konté plis asou fos fizik li pasé asou lespri'y.
"Célestin, tu sais que Stanilas abat une bête aujourd’hui ?","Celèstin, ou sav Stanilas ka tjwé on bèt jòdi-a ?"
J’étais obligé de supporter ce vacarme jusqu’à ce que la faim l’assaille.,Fok mwen té sipòté tout sa vakabonnajri-a jik tan lafen pran’y.
"Après s’être libérés, ils ont continué à se battre au combat de damier.","Apré yo fin libéré kò yo, yo kontinié goumen adan jé damyé."
"Presque dépourvue de cheveux, elle arrive à faire des nattes","Prèské san chivé, i ka rivé fè dé nat."
Adelise ôta ses sandales et avança dans la boue.,Adeliz wété sandal-li épi i vansé adan labou.
Certaines petites filles lui disaient hello.,Sèten ti manmail ka di'y bonjou.
Son métier était cordonnier.,I métier a té sapatyé.
Des nuages très isolés qui ressemblent à du coton ou à des cheveux fins et longs.,Dé bwabwa trè izolé ki sanm a kotòn oben a chivé fen é long.
"Cet homme se prend pour quelqu’un d’instruit, mais il ne sait que réciter par cœur !","Nonm-lasa ka pran pòz i savan, mé i pa sav ki sa ki débité pawòl pa kè !"
"Lorsque vous êtes perdu comme un marin sur la mer, en plein jour.","Lè ou pèdi kon an maren asou lanmè, an plen jou."
"Tu aurais cru qu’en te voyant faire une erreur, ils te remettraient l’argent ?",Ou té kwè yo té ké ranmasé lajan-an ba'w lè yo wè ou fè an fot ?
Vous craignez que le froid vous dévore les os sous la terre de France ?,Ou ka pè ki fredi-a ka manjé zo'w anba tè Fwans ?
Saint-Elie avait demandé à sa secrétaire de faire une demande avec devis joint.,Saint-Elie té mandé sekretè’y la fè yon demand épi yon dòtasyon kolé ansanm.
Ils attachent leurs chevaux afin de casser la croûte.,Yo maré chouval yo pou yo té pé pran on ti poz pou manjé.
Il renverse la tête en arrière sur le dossier de son fauteuil.,I ka jété tèt li an aryè asou dousyé chèz-li.
Les gens étaient très excités à l’apparition du chanteur.,Moun té frékansité anpil lè chantè-a parèt.
Le grand Diable s’assit dans un grand et beau fauteuil.,Gran Djab-la chita adan on gran é bèl fotèy.
"Je sais très bien que notre peuple est fichu, même si nous obtenons notre indépendance.","Mi sa mwen sav byen ki moun-nou an fini, menm si nou jwenn endépandans-nou."
"Depuis que Georges sait ce qui s'est passé, il ne veut pas en démordre.","Dépi Jòj sav sa ki pasé, i pa lé lagé sa."
"C’est un endroit où gamin, j’allais cueillir mes icaques.","Sé an kote, lè té manmay, mwen té ka alé chèché zika mwen."
Tout cela le préoccupait beaucoup,Tout sa té ka trakasé'y an chay.
"Si jamais j'achetais un beau kilo de poissons à mon beau-père, cela lui ferait plaisir.","Si janmen mwen té ka achté on bèl kilo pwason ba bopè-mwen, sa té ké fè'y plézi."
Quand il vous avait becqueté à la tête.,Lè i té piké'w an tèt la.
Notre homme se mit à descendre sur la terre.,Nonm-lan koumansé désann asou latè.
Le désespoir vous étouffe comme une hostie rassis.,Ladézespwa ka séré'w kon an hosti ki fini bon.
Comme les conteurs qui n'accordent pas plus de considération à la parole que ce,Zòt ka rakonté san yo pa ka ba pawòl plis valè pasé sa
"A la différence de Georges, ton cousin n’est pas menteur.","Kontrèman épi Georges, ti kouzen'w la pa manti."
"Ils disent que l'eau, surtout celle qui tombe du ciel, ne doit pas appartenir à untel ou untel.","Yo di ki dlo-a, sirtou sila ki ka tonbé di siel, pa sipozé fè pati a untel oubyen untel."
Un petit mot a pénétré dans un glissement à l’oreille de notre petite chérie.,"En kréyol matinik, nou pé di sa konsa:\n""Yon ti mo antre adan zorèy ti chou nou an souplé."""
C’est davantage la peine qui lui a enveloppé le cœur qu’une blessure.,Sé plis lapenn ki té anvlopé kè'y pase on blesé.
"A l’époque où le volcan n’avait pas encore détruit Saint-Pierre, il y avait un grossiste qui y vendait de la morue séchée.","Lè tan-an avan volkan-an pa té fini détwi Sen-Piè, té ni on gwo machann ki té ka vann mòw an sèk."
Quand quelqu’un a de graves ennuis il ne faut pas le noyer dans un verre.,Lè an moun ka pasé mizè fòk ou pa néyé'y adan on vè.
Il est le seul à savoir accorder les pianos.,I sé sel la ki sav akodé piyano a.
Le fleuriste qui était installé dans ma rue a fermé.,Machann flè ki té ka rété adan lari mwen-an fèmen.
Nous sommes en train de chercher quelqu’un qui nous entraînera.,Nou ka chèché yonn ki ké fòmé nou.
"Ces jours-ci, l’économie du pays bat de l’aile",Lèkonomi péyi-a ka fèbli dé jou-tala.
L’auvent grince doucement.,La oben-an ka kriyé douvan.
Il dit que ce sont les Français qui prennent les arrêtés dans ce pays,I ka di sé fwansé-a ki ka pran arété adan péyi-tala.
Cet élève est un peu trop irrespectueux à mon gré.,Sé élèv-lan enpé twòp ka manké respé pou mwen.
Mon fils va chercher une calebasse d’eau pour ta mère.,Garçon-mwen ka alé chèché on kalbas dlo ba manman'w.
Mais comme Rosalien est quelqu’un qui s’y connaît en matière de sentiments….,Mé kon Rosalien sé an moun ki konnet bagay an matyè di santiman....
Seuls les fourches bourdonnent au-dessus de nos têtes.,Sé selman fouyapen ka bourdonnen asou tèt nou.
Le prête ne sait pas qui a engrossé la fille de madame Bernard,Prèt-la pa sav ki moun ki fè tifi madanm Bèna a ansent.
Elle félicite les élèves qui se trouvent au premier rang.,I ka fè lwanj pou sé zélev-la ki chita an prèmié ran.
Seuls les gamins jouent avec ce qu'ils ont dans leur assiette.,Sé selman ti manmay ka jwé épi sa yo ni an plak yo.
"Elle se souvenait de la façon avec laquelle sa tante, Philomène, détestait l’entendre.","I té ka chonjé manniè tant li, Philomène, pa té ka sipòté tann li."
Le vent du nord les entraîne vers le bas.,Vant nò-a ka trennen yo desann.
"Cette affaire de diarrhée, de coqueluche et de rougeôle qui se répandait sans que nous ayions le moindre remède pour les soigner.","Sa ki ka palé di dyaré, koklich ek roudjòl ki té ka pòté palé san nou té ni ayen pou swenyé yo."
Je donnerais un grand festin pour tous mes camarades.,Mwen kay fè on gwo fèt pou tout kanmarad mwen yo.
Les gens du bourg ne payaient plus le charbon.,Sé moun-an dan bouk la pa té ka péyé chabon ankò.
Un énorme 4/4 roule tranquillement sur le trottoir.,An gwo 4x4 ka woulé doubout asou twotwa-a.
Tu n’as pas encore nettoyé l’avant de la voiture.,Ou poko netwayé douvan loto a.
J’ai couru jusqu’à rendre l’âme.,Mwen kouri jik mwen pèdi souf mwen.
Quand aigle eut fait quelques kilomètres il s’écria « Maître ! J’ai faim ! ».,"Lè zéglon fini fè on ti ditan larout, i kriyé, ""Mèt ! Mwen fin grangou !"""
Toutes ces paroles d’amour affadissent la chanson.,Tout sé pawòl lanmou-tala ka fè chanson-an pèd gou'y.
Avec une lavandière de la plantation Destourneaux appelée Noémise.,Avèk on lavandièz adan plantasyon Destourneaux yo ka kriyé Noémise.
"Monsieur Dufour, rendu maussade par la présence et l’amabilité des étrangers.","Misie Dufour, vini bougonnen akoz prézans épi jantiyès sé etranjé-a."
Avec tout l’argent que j’ai mis à la quête,Ak tout lajan mwen mété an kwet-la
La température monte à 100 degrés C pendant le jour.,La tanpérati ka monté jik 100 dégré C adan lajounen.
Toutes les plantes qu'elles toucheront porteront en abondance.,Tout plant yo touché ké pòté an chay.
"Le cadavre au milieu de la fête qui court, saute au son de la voix et au rythme de la cadence.","Kadav-la an mitan fèt-la ka kouri, ka soté an son lavwa ek an kadans rythm-la."
Elle m’a emballé le morceau de viande tellement elle a vu que j’étais furieux.,I té ban mwen moso vyann lan byen anbalé pas i wè mwen té anrajé.
"Vous n’avez été flétri par aucune maladie, ni frappé par aucune épée dans aucun grand combat.","Ou pa té flitri pa pyès maladi, ni fapé pa pyès épé adan pyès gwo konba."
Ils sont obligés de déguerpir de toutes leurs colonies.,Yo oblijé kité tout koloni yo.
Une petite cassette remplie de pièces d'or qu'Emile avait tenue cachée.,An ti kasèt ranpli épi pyès lò ké Emil té ka kaché.
Ils étaient fâchés contre le Père Noël et la Mère Noël.,Yo té faché kont Papa Nwèl épi Manman Nwèl.
C'est comme le bedeau qui a l'église met un étouffoir sur la bougie afin de l'éteindre.,Sé konm si bédjo a légliz-la mété an étèfen asou lanp-la pou étén'y.
On prétend même qu’il fait le souteneur à Paris.,Yo ka menm di i ka fè makrèl an Pari.
Vous faîtes une espèce de petite chapelle.,Zot ka fè on ti chapèl.
Un sauvage qui brandissait un couteau d’abattoir.,On sovaj ki té ka balanse on kouto labatwa.
Nous ne pouvons pas encore analyser la situation.,Nou pé ké sa analizé sitiyasion-an touswit.
"Ne te mêle pas à mes affaires, s’il te plaît.","Pa mélanjé kò'w adan zafè mwen, souplé."
Ce n’est pas moi qui vous raconterai à nouveau des contes.,Sé pa mwen ki kay rakonté zot kont ankò.
La liberté est un combat que l’on mène au jour le jour !,Lalibèté sé an konba nou ka mené chak jou !
Vêtu d'un short kaki ample et chiffonné.,Abiyé épi on chòt kaki laj épi chifonnen.
Il s’assurait que le pont était costaud.,I té ka asiré ki pon-an té solid.
La hauteur et la longueur des vagues s’agrandissent à mesure que le vent devient fort.,Lotè épi longè sé lanm yo ka grandi asirézotan ki van-an ka vini fò.
On tue même les cochons de manière industrielle.,Yo ka tjwé kochon menm jan an mannyè endistriyèl.
"Te voilà enfin, beau regard pour une journée dorée.","Men ou rivé, bel zie pou on jounen doré."
"Petit à petit, la tristesse s’empara du coeur de Matéo.","Ti pa ti pa, la tristès pran kè Matéo."
Sa queue était terrible et finissait par une griffe à chacune de ses extrémités.,Son ké tala té red épi i té ka fini épi on grif a chak bout a'y.
Rosalien devait en être à son douzième punch ce jour-là.,Rozali té ka bwè dousièm ponch li jou-tala.
"J’aimerais bien te demander qui a fait ces arbres, ces terrains rocheux, ce ciel sur nos têtes.","Mwen té ké enmen mandé'w ki moun ki fè sé pyébwa yo, sé tè wòch la, sé syèl-la ki anlè tèt nou."
Ton cœur s’enflamme à cause d’une peur qui tétanise celui d’autrui.,Kè'w ka pran difé poutji an lapè ki ka paralizé kè lézòt moun.
Je n'aime pas les gens qui font des bêtises.,Mwen pa renmen moun ki ka fè bétiz.
Je n'étais jamais retourné au Gros-Morne depuis neuf ans que je vis à Fort-de- France.,Mwen pa janmen viré monté o Gros-Morne dépi nèf lanné mwen ka rété atè Fòdfrans.
Je buvais son beau français parlé avec l’accent parisien.,Mwen té ka bwè pawòl fwansé'y la ki té bel épi akson parizyen an.
"A ce moment la, il sortait furieux et jetait une flopée d’injures.","An moman-tala, i té ka sòti anrajé epi i té ka voyé an pil jiré."
"C’était quelque chose de trop réel, qui avait un côté définitif.","Sa té an bagay twò réyèl, ki té ni an kité définisif."
Il y aura profusion de poissons-volant et de daurades.,Ni pou ni an chay zétwel épi dorad.
Janvier a trompé décembre.,Janvié twonpé désanm.
"Grandes fumées, grand feu, grand cratère.","Gwo fimé, gwo difé, gwo krété."
"Tout en haut du morne, là où il y a énormément de bois.","An tèt mòn lan, koté ki ni an chay bwa."
L'eau des robinets coulant goutte à goutte dans l'arrière-cour des cases.,Dlo robiné ka chouké ti-gout an ti-gout dan lakou kay-la.
Et de m’envoyer à côté du chauffeur.,Épi voyé mwen asiz bò koté chofè-a.
Ouah! Quelle jolie maison !,Wow! Ki bel kay !
Toutes choses se rejoignent et s’échangent.,Tout bagay ka jwenn yo ek ka fè échanj.
Un seul employé pour servir tant de gens.,Yonn sel anplwayé pou sèvi otan moun.
Il connaît beaucoup de secrets.,I konnèt an pil sékré.
"Il nous faut l'accepter, il sait ce qu'il fait.","Nou bizwen aksepté sa, i sav sa i ka fè."
"Eh bien, moi, il est à mon goût.","Eh ben, mwen, i ka plè mwen."
Ce soda contient trop de produits chimiques.,Sa bwason gazez-la ni twóp pwodui chimik adan'y.
J’ai peur que nous ayons emprunté une voie assimilatrice.,Mwen ka pè nou pran on chimen ki mennen asimilasion.
Senga court derrière lui afin de le frapper à coup de bec.,Senga ka kouri dèyè'y pou'y frapé'y a kou bèk.
Il y a ceux qui donnent des ordres.,Ni moun ki ka bay lòd.
Des gens désherbaient.,Moun té ka dézèbè.
"Se brosser, se baigner le matin, toutes sortes de choses.","Bwosé, benyen adan maten-an, tout sòt bagay."
Un camion de boissons gazeuses déchargeait quelques caisses près de l’épicerie de madame Sina dans un vacarme.,An kanmiyon bwason gazé té ka déchajé yonndé kès bò kò épisri madanm Sina adan an vakabonmajri.
"Aujourd’hui, les jeunes préfèrent le hamburger au pain beurré.","Jòdi jou, sé jenn yo ka préféré hanmbègé a pen béré."
Et il s’est fait prendre comme un gamin qui a fait beaucoup de vacarme.,Épi i trapé kon an ti manmay ki fè anchay vakabonaj.
Je l’ai vu tellement appétissant que je l’ai suivi jusqu’ici.,Mwen wè'y tèlman apétisan ki mwen swiv li jik isi.
"Les femmes caressantes, les femmes douces, ne sont pas abandonnées par leur mari.","Fanm ka fè dousin, fanm dous, pa ka jété pa mari yo."
Adelise aperçut Homère dans le groupe des grévistes.,Adeliz wè Òmè adan gwoup grév-la.
Ils furent accueillis comme des libérateurs.,Yo té akeyi kon dé liberatè.
Ici il n’y a que des saoulards.,Isi ni selman soular.
Il s'agit d'un démantibulement sans pitié !,Sa sé an démantibulasion san pitié !
Comme une lame de rasoir sur le visage d’un homme.,Tankou yon lam razwè asou figi an nonm.
La foi fait disparaître la misère.,La fwa ka fè mizè disparet.
