request,answer
Quelque chose a dû le dégoûter.,I an bagay ki fè'y pèdi apeti.
Il est passé dans tous les ministères pour demander de l’argent.,I pasé adan tout sé ministè-la pou mandé lajan.\n
Tout près des vagues se trouve une rivière qui pénètre dans l’embouchure avec des glouglous.,Toupré vag-la ni on rivyè ki ka ranté adan bouch-la épi onlo glouglou.
Va chercher un litre d’huile pour ta mère.,Alé chèché on lit huil pou manman'w.
Tout leur plaisir consistait à inciter les gens qui n’avaient jamais tâté du jeu des dés à se lancer dans une partie de serbi.,Tout plézi yo sété pou ankourajé moun ki pòkò janmen gouté jé dé pou yo komansé on pati serbi.
Ceux qui se sont embarqués dans la banane après lui…,Sé moun ki té bwaké kò yo adan fig la apwé li...
"Car, tous les jours, pour que je n'aille pas marronner, on m'attache avec un petit cordon.","Paské, chak jou, pou mwen pa alé batjé, yo ka maré mwen épi yon ti kòd."
Il s'était envoyé sept grogs.,I té voyé sèt grog ba kò'y.
Je vous mets au défi de découvrir mes plumes ?,Mwen ka défie zot pou dékouvè plim mwen.
N’ouvre pas la bouche pour dire des paroles stupides.,Pa ouvè bouch ou pou di pawòl sòt.\n
Il dormait chez sa grande-tante.,I té ka dòmi kay gran tant li.
Oseriez-vous vous moquer des ordres que j’ai donnés ?,Ou té ké ni témérité pou fè jé épi lod ki mwen bay la?
Mano déclara cela d’une manière gauche.,Mano déklaré sa an mannyè gòch.
Même si c’est la fonction essentielle.,Menm si sé fonksyon fondalnatal la.
"Ce petit garçon ne mange pas, les vers lui piqueront la poitrine.","Ti gason-tala pa ka manjé, vè kay pété kò'y an tjè."
N’êtes-vous donc pas sa mère ?,Ou pa manman'y non ?
Je passerai chez Eva prendre ta mallette.,Mwen ké pasé koté Eva pou pran valiz aw.
Le cheval qui a la grosse crinière.,Chouval-la ki ni an gwo krenn.
"La forêt n’est pas souillée, c’est formidable.","La forè-a pa sali, sa bel."
"C’est à ce moment-là qu’elle vit une fille si belle, si appréciable, qu’elle crut qu’il s’agissait de la Sainte Vierge.","Sé la menm i wè an ti fi telman bel, telman agréyab, i kwè sé té Sent Vièj la menm."
Où vit ta belle-sœur à présent ?,Ki koté bel sè-aw ka viv atjelman ?
"Les garçons faisaient déjà l’école buissonnière, le ventre rempli de cannes à sucre","Sé ti gason-an té ja ka fè lekol bwa, vant yo té plen kann."
L’un d’eux avait pondu des oeufs de lézard.,Yonn adan yo té pondu zé léza.
"Les grandes personnes qui ont réussi, grâce à l’argent, à gagner quelques miettes d’instruction.","Gran moun ki rivé, épi lajan, trapé on ti manjé savwa."
"A la manière d'agir de cet homme, il vous montre au contraire qu'il est intelligent.","Dapré mannyè nonm-tala ka aji, i ka moutwé'w okontrè ki i entèlijan."
"C’est un remède composé d’huile de ricin, de miel et d’orange sucrée.","Sa sé on reméd ki fèt épi lwil maskreti, siwo épi zowanj dous."
Mais il avait pris une conduite.,Mé i té pwan on kondit.
A côté d’un gros nid de fourmi.,Akoté di on gwo nich founmi.
"Toute son arrogance s'était envolée, ce n'était plus la même femme.","Tout awogans-li té dispawèt, sa pa té menm fanm-lan ankò."
"Un jour qu’il était saoul, écoutez ce qu’il a déclaré à sa concubine.","En jou i té sou, kouté sa i di konpanyon'y."
Il adorait toutes les femmes.,I té ka adowé tout fanm-lan.
Il a perdu toutes ses épargnes quand sa maison a brûlé.,I pèdi tout lajan-li té ka ékonomizé lè kay-li brilé.
"Mais c’est toi qui leur a appris à quelle lune planter, à quelle lune fouiller.","Mé sé vou ki aprann yo ki lalin pou planté, ki lalin pou fouyé."
Les béliers ont écrasé le coq.,Bélié-a ékrazé kok-la.
"Il a infligé une cinglante défaite aux soldats de Bonaparte, puis les a jetés à la mer.","I anfligé on gwo batjé ba sòlda Bonapat la, apwé i voyé yo an lanmè."
Et il entra dans la maison à la recherche d’un couteau.,I té ka alé an kay-la pou chèché on kouto.\n
Macaque en vint à gagner toute la somme d’argent.,Makak rivé genyen tout lajan-an.
Il se moquait de l’autre.,I té ka fè jé épi lòt la.
Laisse le directeur déduire ce qu’il veut !,Kité direktè-a dédui sa i vlé !
"Porte-moi, berce-moi, caresse-moi !","Poté mwen, badjolé mwen, karesé mwen!"
Un gentleman comme lui aurait fait quelque chose d’aussi malhonnête ?,Un jantiman kon li té ké fè an bagay konsa malonnèt ?
C’était le dernier rejeton de la lignée d’Eudipe.,Sa té dènié pititi la ligné Eudip la.
Mais nous reprendrons cette conversation un autre jour.,Mé nou kay ripran pawòl-tala on lòt jou.
Sur une île appellée Madinina,Anlè an zil yo ka kriyé Madinina
"Au milieu de tous ces défoulements, Vaval appelait au secours car il était tout seul.","An mitan tout sé déchoukay la, Vaval té ka mandé sekou piskè i té tout sel."
"Enfin, toute une litanie éclata.","Enfen, tout an litanie eklaté."
"Ici, il y avait des hectares et des hectares de terres où il pouvait gambader.","Isi-a, té ni dézè é dézè di tè koté i té pé galopé."
Accoucher quelqu'un leur permettait de mener une existence pleine d'harmonie.,Mennen yich an moun té ka permet yo viv an lavi plen akò.
Ils peuvent t’avaler d’un seul coup sans que tu aies le temps de ciller.,Yo pé avawé'w an sèl kou san ou menm ni tan bat zié.
"Cheval, mon cher, tu iras chercher Colibri.","Chouval, mi chè, ou kay chèché Kolibri."
Elle était extrêmement laide.,I té extrememan led.
"Il avance porté, par la cadence.","I ka alé douvan, pòté pa kadans-la."
On aurait dit que j’ai vu deux coqs d’Inde dans la basse-cour.,Mwen té ka di mwen wè dé kòk-dend an lakou-a.
Tu n’étais pas obligé de venir cravaté à ce baptême.,Ou pa té oblijé vini épi on kravat pou sa batèm-la.
Un héros est venu nous délivrer !,En iro vini délivré nou !
Il n'avait plus la force pour engueuler les nègres qu'il surprenait à fainéanter.,I pa té ni fos ankò pou i té sa kriyé si nèg i té ka trapé ka pwan repo.
Il avait tout l’air d’un campagnard.,I té ka sanm toutafetman a on neg lakanpay.
Il y en a d'autres qui crient : à bas ceci ! à bas cela !,Ni dòt moun ka kriyé : Aba sa ! Aba sa !
Où ton oncle a-t-il perdu son chéquier ?,Ki koté tonton'w pèdi chékié'y ?
Et il envoya ses gardes chauffer une barre de fer afin de brûler Lapin.,Épi i voyé gad li chofé an baw fè pou boule Lapen.
Il a jeté brusquement son sac par terre.,I ja jété sak li atè bwabwa.
La jalousie fait divaguer les gens.,Lajalouzi ka fè moun divagé.
Rosalien le lui prêtait facilement.,Rozalyen té ka prété'y sa fasilman.
"Mais son frère Polinis, qui était banni…",Mé fwè-ay Polinis ki té banni...
Regarde bien s’il n’y aurait pas quelque gangrène.,Gadé byen si pa té ké ni an ti gangrèn.
Monsieur Gaston leur avait donné à chacun un coup de barre derrière la tête.,Misie Gaston té ba yo chak an kou bar dèyè tèt la.
"Monsieur Despointes, j'astique un peu votre carrosserie.","Misie Despointes, mwen ka briyé on ti kras kò-a machin ou."
Et une odeur de soufre en émanait.,Épi on lodè souf té ka sòti adan'y.
Tu es un petit peu fétichiste.,Ou enmen ti bagay la an chay.
"A sa place, j’aurais été jaloux aussi, tu sais.","A plas li, mwen té ké jalou osi, ou sav."
Bon. Mais c’est déjà l’heure de la pause.,Bon. Mé ja lè pou fè on poz.
Les maîtres d’école lapident les enfants dissipés.,Sé mèt lékòl-la ka jété wòch asou sé timoun ki pa ka rété trankil.
La Diablesse s’en alla dormir dans sa maison située sur l’emplacement de l’actuelle montagne Pelée.,La Djablès alé dòmi an kay li ki té yé koté koté mòn Pélay jòdi jou.
"Monette, grande bringue qui marchait comme une bourrique...","Monette, gran dabouya ki té ka maché kon an bourik..."
C'est une manière de toujours alimenter le lien de rattachement .,- Sa sé an mannyè pou toujou nouri lyen ki ka lyé nou.
Elle est longue donc ta vie sera longue.,"I manmay-la long, alò lavi'w ké long."
Il n’y a pas plus bête que Maurice.,Pa ni pyès moun pli bèt pasé Moris.
"Mais la demoiselle était une sacrée vicieuse, d’ailleurs à bien des égards….","Mé madmwazèl-la té en vyé kochon djab, an plizyè sans…"
Cette femme a une démarche sensuelle.,Madanm-lasa ni on jan i ka maché ki sansièl.
Le sang meurt et puis la personne tombe gravement malade et meurt.,San-an ka mò épi moun-an ka tonbé grav malad épi i ka mò.
Une mère n’oubliera jamais son dernier enfant.,En manman pé ké janmen bliyé dènyé ti-moun'y la.
Comme un tas de crabes attachés à une ficelle.,Kon an pake krab ki maré épi an fil.
La mort attendait dans son carénage.,Lanmò té ka espéré an kachet li.
Ils avaient l'air d'être des mulets bien dressés.,Yo té sanm dé milé bien dresé.
Avant que Chirac n’aborde la porte de la mairie.,Anvan Chirac antre nan lapot mèri a.\n
Combien de stagiaires avons-nous pris l’an passé ?,Kont konbien stajyè nou té pran lanné pasé ?
"Aujourd’hui, il n’y a pas beaucoup de gens qui attrapent la tuberculose en Martinique.","Jòdi jou, pa ni anchay moun ka trapé la tibèkiloz an Matinik."
Ce n’est pas parce que Gisèle a deux enfants de deux pères différents qu’elle est une prostituée.,Sa pa pas Gisèle ni dé ti-moun épi dé papa diféran ki i ka fè'y vini on pwostitié.
Ils marchent même accroupis.,Yo ka maché menm ajenou.
Parce qu’ils savent au fond de leur cœur que cela les soulagera.,Paski yo sav an fon tjè yo sa kay soulaje yo.
Qui nous servait de cuisine.,Ki té ka sèvi nou kizin.
"Lorsque le bébé va à la selle, il a les excréments en forme de petits grains.","Lè ti bébé-a ka fè poupou, i ni kaka'y an fòm ti grenn."
J'étais tellement niaise que j'ai mal ramené le cerf-volant au sol.,Mwen té tèlman niais ki mwen pa rivé pozé sèvolan-an byen atè.
Bien qu’il ne fût pas amateur de combats de coqs.,Menm si i pa té renmen konba kok.
Je ne le repoussais pas d’une façon trop rustre.,Mwen pa té ka réfizé'y twòp an manniè grodyè.
La respiration de tes veines s’affole comme une nuée de bestioles.,Respirasyon an ven'w la ka fèbòdò kon an nyaj bestiol.
Il y en avait même un qui lui donnait à boire un philtre d’amour.,Té ni menm yonn ki té ka ba li bwè on filt lanmou.
Il compte davantage sur sa force physique que sur son mental.,I ka konté plis asou fos fizik-li pase asou lespri'y.
"Célestin, tu sais que Stanilas abat une bête aujourd’hui ?","Célestin, ou sav Stanilas ka tjwé an bèt jòdi-a ?"
J’étais obligé de supporter ce vacarme jusqu’à ce que la faim l’assaille.,Mi té oblijé sipòté sa vakabonaj-la jik tan lafen té koumansé chapé'y.
"Après s’être libérés, ils ont continué à se battre au combat de damier.","Afwè yo té libéré kò yo, yo kontinié goumen adan konba dàm."
"Presque dépourvue de cheveux, elle arrive à faire des nattes","Pweske san chivé, i ka rivé fè nat."
Adelise ôta ses sandales et avança dans la boue.,Adéliz ôté sapat li épi avansé an labou.
Certaines petites filles lui disaient hello.,Sèten ti fi té ka di'y bonjou.
Son métier était cordonnier.,I métié-a sété bòtswè.
Des nuages très isolés qui ressemblent à du coton ou à des cheveux fins et longs.,Wol nyaj byen izolé ki sanm kon koton oben kon chive fin é long.
"Cet homme se prend pour quelqu’un d’instruit, mais il ne sait que réciter par cœur !","Nonm-lasa ka kwè i savan, mé i pé sèlman chapé pawòl oben répété pawòl kon an pèwokèt !"
"Lorsque vous êtes perdu comme un marin sur la mer, en plein jour.","Lè ou pèdi kon an maren asi lanmè, an plen jou."
"Tu aurais cru qu’en te voyant faire une erreur, ils te remettraient l’argent ?","Ou té kwè ki lè yo wè'w fè an erè, yo té ké ranmasé lajan-an ba'w ?"
Vous craignez que le froid vous dévore les os sous la terre de France ?,Ou pè fredi-a manjé zòs ou anba tè Fwans ?
Saint-Elie avait demandé à sa secrétaire de faire une demande avec devis joint.,Saint-Elie té mandé sekretè'y la pou fè an demann épi an dòtasion jwenn.
Ils attachent leurs chevaux afin de casser la croûte.,Yo ka mare chouval yo pou yo sa manjé on ti bagay.
Il renverse la tête en arrière sur le dossier de son fauteuil.,I tounen tèt-li anlè dèyè an fotey-la.
Les gens étaient très excités à l’apparition du chanteur.,Moun té byen eksité lè chantè-a parèt.\n
Le grand Diable s’assit dans un grand et beau fauteuil.,Gran Djab-la asiz adan on bèl épi gran fotey.
"Je sais très bien que notre peuple est fichu, même si nous obtenons notre indépendance.","Mi sav byen pep nou-an fouti, menm si nou trapé lendépandans nou."
"Depuis que Georges sait ce qui s'est passé, il ne veut pas en démordre.","Depi lè Georges sav sa ki pasé, i pa lé chanjé lide'y."
"C’est un endroit où gamin, j’allais cueillir mes icaques.","Sé an kote la, lè mwen té piti, mwen té ka alé sèvi sikak."
Tout cela le préoccupait beaucoup,Tout sa té ka trakasé'y an chay.
"Si jamais j'achetais un beau kilo de poissons à mon beau-père, cela lui ferait plaisir.","Si janmen mwen té ka achté an bel kilo pwason ba bòpè mwen, sa té ké fè'y plézi."
Quand il vous avait becqueté à la tête.,Lè i té ka piké zòt an tèt.
Notre homme se mit à descendre sur la terre.,Nonm-lan koumansé désann asou latè.
Le désespoir vous étouffe comme une hostie rassis.,Désespwa ka étoufé zot kon an losti rasi.
Comme les conteurs qui n'accordent pas plus de considération à la parole que ce,Parey bétjé ki pa ka bay lapawol plis konsidérasion pasé sa\n
"A la différence de Georges, ton cousin n’est pas menteur.","Kontrèman épi Georges, tòn kouzen-an pa ka manti."
"Ils disent que l'eau, surtout celle qui tombe du ciel, ne doit pas appartenir à untel ou untel.","Yo di dlo-a, sitou sila ki ka tonbé di sièl-la, pa sipozé ka apateni a untel oubyen untel."
Un petit mot a pénétré dans un glissement à l’oreille de notre petite chérie.,On ti pawol té glisé adan zòrèy ti chou nou an.
C’est davantage la peine qui lui a enveloppé le cœur qu’une blessure.,Sé plis lapenn ki pran kè'y pasé on blesir.
"A l’époque où le volcan n’avait pas encore détruit Saint-Pierre, il y avait un grossiste qui y vendait de la morue séchée.","A lépok la koté volkan an poko té détwi Sent-Piè, té ni on gwo-négosian ki té ka vann mòw yo séché."
Quand quelqu’un a de graves ennuis il ne faut pas le noyer dans un verre.,"Lè an moun ni gwo traka, fok pa néyé'y adan an vè dlo."
Il est le seul à savoir accorder les pianos.,I sé yonn-tout sel ki savé akòdé piyano-a.
Le fleuriste qui était installé dans ma rue a fermé.,Machann flè ki té ka rété an lari mwen-an fèmen.
Nous sommes en train de chercher quelqu’un qui nous entraînera.,Nou ka chèché yonn ki ké fòmé nou.
"Ces jours-ci, l’économie du pays bat de l’aile","Jòdi jou, ékonomi péyi-a ka bat bòdaj."
L’auvent grince doucement.,L'oben-la ka grinse dousman.
Il dit que ce sont les Français qui prennent les arrêtés dans ce pays,I sé sé fwansé-a ki ka pwan arété an péyi-a.
Cet élève est un peu trop irrespectueux à mon gré.,Sa etidyan-an enpé twòp san respé ba mwen.
Mon fils va chercher une calebasse d’eau pour ta mère.,Pitit gason-mwen kay chèché an kalbas dlo pou manman'w.
Mais comme Rosalien est quelqu’un qui s’y connaît en matière de sentiments….,Mé kon Rosalien sé an moun ki konnet an bagay an matyè di santiman….
Seuls les fourches bourdonnent au-dessus de nos têtes.,Sé sel fouchèt ka bourdonnen anlè tèt nou.
Le prête ne sait pas qui a engrossé la fille de madame Bernard,Pret-la pa sav ki moun ki fè tifi madanm Bèna a gwo vant.
Elle félicite les élèves qui se trouvent au premier rang.,I séliyé sé zélèv la ki asiz an prèmie ran.
Seuls les gamins jouent avec ce qu'ils ont dans leur assiette.,Sé ti manmay la selman ka jwé épi sa yo ni an plak yo.
"Elle se souvenait de la façon avec laquelle sa tante, Philomène, détestait l’entendre.","I manmay-tala té ka chonjé mannyè tantin li, Filomèn, pa té ka sipòté tann li."
Le vent du nord les entraîne vers le bas.,Van nò ka pòté yo alé anba.
"Cette affaire de diarrhée, de coqueluche et de rougeôle qui se répandait sans que nous ayions le moindre remède pour les soigner.","Sa afè diawé, koklich ek woujol ki té ka pwopajé san nou té ni pyès rimed pou swenyé yo."
Je donnerais un grand festin pour tous mes camarades.,Mwen kay fè on gran fèt pou tout kanmarad mwen yo.
Les gens du bourg ne payaient plus le charbon.,Moun bouk-la pa té ka péyé chabon ankò.
Un énorme 4/4 roule tranquillement sur le trottoir.,An gwo 4x4 ka woulé dousman asou twotwa a.
Tu n’as pas encore nettoyé l’avant de la voiture.,Ou poko netwaye douvan machin-la.
J’ai couru jusqu’à rendre l’âme.,Mwen kouri jik mwen ped souf mwen.
Quand aigle eut fait quelques kilomètres il s’écria « Maître ! J’ai faim ! ».,"Lè zéglé té ja fè on tikilomèt, i kriyé « Mèt ! Mwen fin ! »."
Toutes ces paroles d’amour affadissent la chanson.,Tout pawòl lanmou-tala ka rann chanson-an fad.
Avec une lavandière de la plantation Destourneaux appelée Noémise.,Épi an lavandièz bitasyon Destourneaux ki rélé Noémise.
"Monsieur Dufour, rendu maussade par la présence et l’amabilité des étrangers.","Misie Dufour, vini grognon akoz prézans ek lajantilles étranjé yo."
Avec tout l’argent que j’ai mis à la quête,Tout lajan mwen mété an kwèt la
La température monte à 100 degrés C pendant le jour.,Tanperati-a ka monté jis 100 dégré C an lajounen.
Toutes les plantes qu'elles toucheront porteront en abondance.,Tout plant yo touché ké pòté an labondans.
"Le cadavre au milieu de la fête qui court, saute au son de la voix et au rythme de la cadence.","Kadav-la an mitan fèt-la ka kouri, ka soté o son a lavwa ek o ritm kadans-la."
Elle m’a emballé le morceau de viande tellement elle a vu que j’étais furieux.,I manmay-la anbalé moso vyann-an ba mwen telman i wè mwen té faché.
"Vous n’avez été flétri par aucune maladie, ni frappé par aucune épée dans aucun grand combat.","Ou pa janmen ni gaté pa pyès maladi, ni trapé kou épé nan pyès gwo konba."
Ils sont obligés de déguerpir de toutes leurs colonies.,Yo oblijé kité tout koloni yo.
Une petite cassette remplie de pièces d'or qu'Emile avait tenue cachée.,En ti kasèt ranpli épi pyèsò ki Emile té kaché.
Ils étaient fâchés contre le Père Noël et la Mère Noël.,Yo té faché kont Papa Nwèl ek Manman Nwèl.
C'est comme le bedeau qui a l'église met un étouffoir sur la bougie afin de l'éteindre.,Sé konm si bedo-a ki an légliz-la mété on étennwar asou chandèl-la pou étenn li.
On prétend même qu’il fait le souteneur à Paris.,Yo ka di menm i ka fè makomè an Pari.
Vous faîtes une espèce de petite chapelle.,Ou ka fè on ti chapèl.
Un sauvage qui brandissait un couteau d’abattoir.,On sovaj ki té ka brandi on kouto labatwa.
Nous ne pouvons pas encore analyser la situation.,Nou poko pé analizé sityasyon-an.
"Ne te mêle pas à mes affaires, s’il te plaît.","Pa mélanjé kò'w adan zafè mwen, souplé."
Ce n’est pas moi qui vous raconterai à nouveau des contes.,Sa pa mwen ki kay rakonté zot kont ankò.\n
La liberté est un combat que l’on mène au jour le jour !,Libèté sé on konba nou ka mennen toulejou !
Vêtu d'un short kaki ample et chiffonné.,Abiyé épi on chòt kaki laj épi chifonnen.
Il s’assurait que le pont était costaud.,I té ka asiré ki pon-an té solid.
La hauteur et la longueur des vagues s’agrandissent à mesure que le vent devient fort.,Lotè épi longè sé vag-la ka grandi menm lè van-an ka vini fò.
On tue même les cochons de manière industrielle.,Yo ka tjwé kochon menm jan an mannyè endistriyèl.
"Te voilà enfin, beau regard pour une journée dorée.","Men ou la alafen, bel gade pou an jounen doré.\n"
"Petit à petit, la tristesse s’empara du coeur de Matéo.","Piti a piti, la tristes pran tjè Matéo."
Sa queue était terrible et finissait par une griffe à chacune de ses extrémités.,Son ké tè tèrib épi i té ka fini épi on grif a chak bout.
Rosalien devait en être à son douzième punch ce jour-là.,Rozalyen té dwèt ka rivé asou douzyenm ponch li jou-tala.
"J’aimerais bien te demander qui a fait ces arbres, ces terrains rocheux, ce ciel sur nos têtes.","Mwen té ké bien enmen mandé'w la ki moun ki fè sé piebwa-tala, sé tè wòch-tala, épi siel-la ki anlè tèt-nou."
Ton cœur s’enflamme à cause d’une peur qui tétanise celui d’autrui.,Kè'w ka pran difé poutji an pè ki ka paralizi kè anlòt moun.
Je n'aime pas les gens qui font des bêtises.,Mwen pa renmen moun ki ka fè bétiz.
Je n'étais jamais retourné au Gros-Morne depuis neuf ans que je vis à Fort-de- France.,Mwen pa janmen viré o Gros-Mòn depi nèf lanné mwen ka rété Fòdfrans.
Je buvais son beau français parlé avec l’accent parisien.,Mwen té ka bwè bèl fwansé'y la ki té ka palé épi an aksan parizyen.
"A ce moment la, il sortait furieux et jetait une flopée d’injures.","A moman-lasa, i té ka sòti épi an raj épi i té ka voyé an chay jouman."
"C’était quelque chose de trop réel, qui avait un côté définitif.","Sa té an bagay twò wèl, ki té ni an koté definitif."
Il y aura profusion de poissons-volant et de daurades.,Ni kay ni an chay zétwel boudenm épi dorad.
Janvier a trompé décembre.,Janvié ja twonpé désanm.
"Grandes fumées, grand feu, grand cratère.","Gwo fimé, gwo difé, gwo krété."
"Tout en haut du morne, là où il y a énormément de bois.","An tèt mòn lan, koté ni an chay bwa."
L'eau des robinets coulant goutte à goutte dans l'arrière-cour des cases.,Dlo-a ka koulé ti goût pa ti goût adan lakou dèyè kay-la.
Et de m’envoyer à côté du chauffeur.,Épi voyé mwen asiz an koté chofè-a.
Ouah! Quelle jolie maison !,Waou! Ki bel kay !
Toutes choses se rejoignent et s’échangent.,Tout bagay ka jwenn yo ek ka échanjé.
Un seul employé pour servir tant de gens.,Yonn sel anplwayé pou sèvi tout sé moun-an.
Il connaît beaucoup de secrets.,I konnèt anlo sikrè.
"Il nous faut l'accepter, il sait ce qu'il fait.","- Fok nou aksepté sa, i sav sa i ka fè."
"Eh bien, moi, il est à mon goût.","Eben, mwen, i ka plè mwen."
Ce soda contient trop de produits chimiques.,Sa sida-la ni twòp pwodui chimi adan'y.
J’ai peur que nous ayons emprunté une voie assimilatrice.,Mwen pè nou té ka swiv on chimen ki mennen nou alé anlè lasimilasion.
Senga court derrière lui afin de le frapper à coup de bec.,Senga ka kouri dèyè'y pou'y piké'y épi bèk li.
Il y a ceux qui donnent des ordres.,Genyen moun ki ka bay lòd.
Des gens désherbaient.,Moun té ka sarclé.
"Se brosser, se baigner le matin, toutes sortes de choses.","Bwosé, benyen nan maten, tout kalité bagay."
Un camion de boissons gazeuses déchargeait quelques caisses près de l’épicerie de madame Sina dans un vacarme.,"An kamyòn bweson gazé té ka vidé kèk kès bò koté épisri madanm Sina an, nan an chabrab."
"Aujourd’hui, les jeunes préfèrent le hamburger au pain beurré.","Jòdi jou, jenn moun-an ka préféré hamburger a pen beurré."
Et il s’est fait prendre comme un gamin qui a fait beaucoup de vacarme.,Épi i trapé kon an ti manmay ki fè an chay dezòd.
Je l’ai vu tellement appétissant que je l’ai suivi jusqu’ici.,Mwen vwè'y telman apetisan ki mwen swiv li jik isi.
"Les femmes caressantes, les femmes douces, ne sont pas abandonnées par leur mari.","Fanm ka fè kares, fanm dous, pa ka gadjé yo kité mari yo."
Adelise aperçut Homère dans le groupe des grévistes.,Adeliz wè Omè adan gwoup grévist-la.
Ils furent accueillis comme des libérateurs.,Yo té akeyi kon dé libératè.
Ici il n’y a que des saoulards.,Isi la ni sé zoulou selman.
Il s'agit d'un démantibulement sans pitié !,Sa sé on démantèlman san pitié!
Comme une lame de rasoir sur le visage d’un homme.,Tankou on lam razwè anlè figi on nonm.
La foi fait disparaître la misère.,La fwa ka fè lamizè disparèt.
