request,answer
Il se moquait de l’autre.,I té ka fè la ri o swen lot.
Laisse le directeur déduire ce qu’il veut !,Lajé direktè décidé oben oben oben oben respé sa.
"Porte-moi, berce-moi, caresse-moi !","Pòté mwen, bèké mwen, kachouwet mwen !"
Un gentleman comme lui aurait fait quelque chose d’aussi malhonnête ?,Yonn konsa oben yonn konsa té ké fè an bagay konsa ?
C’était le dernier rejeton de la lignée d’Eudipe.,Se té dènyé nonm Eudipe ki té ka fè pitit.
Mais nous reprendrons cette conversation un autre jour.,Men nou ka repwan sa a lè anlo.
Sur une île appellée Madinina,An zil-la ka kriyé Matinik.
"Au milieu de tous ces défoulements, Vaval appelait au secours car il était tout seul.","An mitan tout bitin sa yo, Vaval té ka criké a yo pas i té tout solèy."
"Enfin, toute une litanie éclata.","Anfen, tout an litanmi eklate."
"Ici, il y avait des hectares et des hectares de terres où il pouvait gambader.","Isi, té ni plizyè èktè èktè tè kote'y té ké ka kouri."
Accoucher quelqu'un leur permettait de mener une existence pleine d'harmonie.,"Akouché yonn, sé yonn ki té ka pèmèt yo gadé on lavi ki bon."
Ils peuvent t’avaler d’un seul coup sans que tu aies le temps de ciller.,"Yo ka avalé'w doubout, san'w pa ni tan fèmen boutèy."
"Cheval, mon cher, tu iras chercher Colibri.","Chwal, doudou, wouvè wonn Colibri."
Elle était extrêmement laide.,I té vréman laid.
"Il avance porté, par la cadence.",I té ka mété endanmen adan bèl jeni respè silans-polang.
On aurait dit que j’ai vu deux coqs d’Inde dans la basse-cour.,"Sa té ka rivé doubout, mwen té ka wè two dindon an koté mòso yo."
Tu n’étais pas obligé de venir cravaté à ce baptême.,O pa té ni obenkonsa pou ou vini kravaté asi batiz-la.
Un héros est venu nous délivrer !,Yonn moun ki sanmdi ko fèt vini sové nou !
Il n'avait plus la force pour engueuler les nègres qu'il surprenait à fainéanter.,I té ja péché.
Il avait tout l’air d’un campagnard.,"Pou tout bagay, i té ni lè oben yonn ki sòti nan lariviè."
Il y en a d'autres qui crient : à bas ceci ! à bas cela !,Dot ki ka fè kri : a ba sa ! a ba sa !
Où ton oncle a-t-il perdu son chéquier ?,Ki koté ton nonkl-tala pèdi chèk-li ?
Et il envoya ses gardes chauffer une barre de fer afin de brûler Lapin.,Épi li té ka fou gad an bwa pou yo ka chauffé an fé pou yo brilé Lapen.
Il a jeté brusquement son sac par terre.,I ka jété atè a dèpi oben dèpi-d'en-bas.
La jalousie fait divaguer les gens.,Jalouzi ka fè moun vire maboul.
Rosalien le lui prêtait facilement.,Rosaline té ka prété'y adan'y adan'y.
"Mais son frère Polinis, qui était banni…","Men frè'y Polinis, ki té an bann…"
Regarde bien s’il n’y aurait pas quelque gangrène.,Tchèké byen pou wè si ni doubout.
Monsieur Gaston leur avait donné à chacun un coup de barre derrière la tête.,Nonm Gaston té ja ba yo on kout bwa ba chak moun.
"Monsieur Despointes, j'astique un peu votre carrosserie.","Misié Despoint, ja pwan doubout kawotchou-w la."
Et une odeur de soufre en émanait.,Et yonn lòt jan dèyèché-té ka sòti an lè.
Tu es un petit peu fétichiste.,Ou ni an ti bout fétichis.
"A sa place, j’aurais été jaloux aussi, tu sais.",Si té an ké ni sa fè jalousi tou.
Bon. Mais c’est déjà l’heure de la pause.,Bon. Mé sé obenmen lè a pou obenmen.
Les maîtres d’école lapident les enfants dissipés.,Matè fanmè fwape ti moun ki malendirè.
La Diablesse s’en alla dormir dans sa maison située sur l’emplacement de l’actuelle montagne Pelée.,La Dyabès ka trapé chimen-yo ek'y ka rété atè an vilaj ki monté'y jòdi yo apelé Mòn-Pélé.
"Monette, grande bringue qui marchait comme une bourrique...","Monèt, gran longè ki té ka maché kon bourik..."
C'est une manière de toujours alimenter le lien de rattachement .,Sa sé yonn fason pou toujou ranfòsé lyenn ki ni ant nou.
Elle est longue donc ta vie sera longue.,"An long, la vi'w ké long."
Il n’y a pas plus bête que Maurice.,Pa ni pi bet pase Mòrys.
"Mais la demoiselle était une sacrée vicieuse, d’ailleurs à bien des égards….","Men madichon an té on vré machannès, ébyen si ou wè yo byen."
Cette femme a une démarche sensuelle.,Ké sa fanm la ka maché adan on fason ki révè anpil chalè?
Le sang meurt et puis la personne tombe gravement malade et meurt.,San mò e moun la tonbé byen malad epi l mò.
Une mère n’oubliera jamais son dernier enfant.,Yon manman p'ap janm bliye pitit-dènye li a.
Comme un tas de crabes attachés à une ficelle.,Kon yon tou nwa krab ki oben sou yon foumi.
La mort attendait dans son carénage.,La mòt té ka atann adan kay bèlè.
Ils avaient l'air d'être des mulets bien dressés.,Yo té ka fè wout' mornes.
Avant que Chirac n’aborde la porte de la mairie.,Anvan chirak vini oben mèt doubout douvan mèrikri-a.
Combien de stagiaires avons-nous pris l’an passé ?,Konbyen estazyè an nou pran l'an pase ?
"Aujourd’hui, il n’y a pas beaucoup de gens qui attrapent la tuberculose en Martinique.","Jodia, pa ni anlo moun ki pwan tibekiloz an Matinik."
Ce n’est pas parce que Gisèle a deux enfants de deux pères différents qu’elle est une prostituée.,Se pa paske Gisèle gen de pitit fi ki sòti de twa moun ki fè yo tou dè sòti jòdi yo dwe di sa sou li.
Ils marchent même accroupis.,I pé mawché menm koté-yo kayé.
Parce qu’ils savent au fond de leur cœur que cela les soulagera.,Pas yo sav sa ké délivwé yo an chenn'ich.
Qui nous servait de cuisine.,Ki té ka sèvi-nou kon sa ki fè manje.
"Lorsque le bébé va à la selle, il a les excréments en forme de petits grains.","Lè bébé fè kaka,'w ka wè'y adan'y on ti grenn."
J'étais tellement niaise que j'ai mal ramené le cerf-volant au sol.,Mwen té si bêt mwen fè pèdi dra bout a zepòl ki soufle a.
Bien qu’il ne fût pas amateur de combats de coqs.,Byenke i pa té ja ka oben wonmennen foumi.
Je ne le repoussais pas d’une façon trop rustre.,Mwen pa té fè'y vini jòd-la an chach.
La respiration de tes veines s’affole comme une nuée de bestioles.,Lanmè a fou respire kò'y kon an chenn zo.
Il y en avait même un qui lui donnait à boire un philtre d’amour.,Ni an ki té menm ka ba'y bwè filtwè dè lamou.
Il compte davantage sur sa force physique que sur son mental.,I ka plis konnèté adan fòs' a-y pase adan intèlektyèl' a-y.
"Célestin, tu sais que Stanilas abat une bête aujourd’hui ?","Sélestenn, sav ou Stanilas ka touyenn an bèt jòdi a ?"
J’étais obligé de supporter ce vacarme jusqu’à ce que la faim l’assaille.,Fodé mwen té ka tann bri ba yo joukala lè lafenn vini rivem.
"Après s’être libérés, ils ont continué à se battre au combat de damier.","Lè yo te fin fèmen yo, yo te kontinye goumen nan batay dada."
"Presque dépourvue de cheveux, elle arrive à faire des nattes","Anlo dlo ki oben dlo ?, elle ka fè van."
Adelise ôta ses sandales et avança dans la boue.,Adélise rétiré sav sanded epi avansé adan labou.
Certaines petites filles lui disaient hello.,Kèk ti fi té ka di'y adan.
Son métier était cordonnier.,Sé sa ki té ni pou'y fè.
Des nuages très isolés qui ressemblent à du coton ou à des cheveux fins et longs.,Ké'yé chaché'y annou ka rivé adan sa'y ka mennen mwen oben yo ka konplé'w ?
"Cet homme se prend pour quelqu’un d’instruit, mais il ne sait que réciter par cœur !",Hòm sa a konnen pase lòd boutèy ki mennen lòt boutèy.
"Lorsque vous êtes perdu comme un marin sur la mer, en plein jour.","Lè ou ped konm yonn maren an lamer, nan mitan jou a."
"Tu aurais cru qu’en te voyant faire une erreur, ils te remettraient l’argent ?","Ou té ké kwè, an wè-w fè an fòt, yo té ké ba-w lajan ?"
Vous craignez que le froid vous dévore les os sous la terre de France ?,Ou pé ka obenmé ki laplenn-an ka fennen'w anba latè a Frans ?
Saint-Elie avait demandé à sa secrétaire de faire une demande avec devis joint.,Sent-Eli té ka mandé sekretè-a fè yon demann ak yon devis ki t'annexé yo.
Ils attachent leurs chevaux afin de casser la croûte.,Yo atache chwal yo pou yo manje.
Il renverse la tête en arrière sur le dossier de son fauteuil.,I ka vèsè oben dômi adosé asi rèzen bokit'yen.
Les gens étaient très excités à l’apparition du chanteur.,Moun té adanimen lè chantè a té vini.
Le grand Diable s’assit dans un grand et beau fauteuil.,Gran Dyab la chita oben wonm doubout an belachè.
"Je sais très bien que notre peuple est fichu, même si nous obtenons notre indépendance.","Mwen sav byen ke péyi-nou fouti, menm si nou pran endépandans."
"Depuis que Georges sait ce qui s'est passé, il ne veut pas en démordre.","Depi Jòj wè sa ki t'ap pase, li pa vle lage sa."
"C’est un endroit où gamin, j’allais cueillir mes icaques.",Sé on koté mwen té piti mwen té ka woulé pou mwen pran sikak.
Tout cela le préoccupait beaucoup,Tout sa té ka trabwayé'y bien obenou.
"Si jamais j'achetais un beau kilo de poissons à mon beau-père, cela lui ferait plaisir.","Si jou' mwen té konprachète an bèf kilo pwason ba bèlpè mwen, sa té ké fè'y anvi."
Quand il vous avait becqueté à la tête.,Lè i té ka janbé'w adan tèt-la.
Notre homme se mit à descendre sur la terre.,Non moun la koumansé désann oben latè.
Le désespoir vous étouffe comme une hostie rassis.,Désespwa ka toufé'w kon on fouèt péyi.
Comme les conteurs qui n'accordent pas plus de considération à la parole que ce,Kon sa moun ki ka konté istwa yo ki pa ba pawòl plis enpòtans pase sa
"A la différence de Georges, ton cousin n’est pas menteur.","A ladjilévé jij-tala, doubout'w pa menm espèss-mantè."
"Ils disent que l'eau, surtout celle qui tombe du ciel, ne doit pas appartenir à untel ou untel.","Yo di ke dlo, sitou dlo ki tonbe koté syèl, pa dwe monté kat jenn moun."
Un petit mot a pénétré dans un glissement à l’oreille de notre petite chérie.,Yonn ti mo ka fè tjenbé bwaiz a pitit fi-nou.
C’est davantage la peine qui lui a enveloppé le cœur qu’une blessure.,"Se té oben la pèn ki té ka mandé’y, pa menm yon blese."
"A l’époque où le volcan n’avait pas encore détruit Saint-Pierre, il y avait un grossiste qui y vendait de la morue séchée.","An tan lontan lè volkan pa té ka detwi Senpiè, té ni an gwo moun ki té ka vann bwadjak."
Quand quelqu’un a de graves ennuis il ne faut pas le noyer dans un verre.,"Lè yon moun gen anpil pwoblèm, fòk nou pa ajoute lòd sou yo."
Il est le seul à savoir accorder les pianos.,Sé li sèl ki sav aksantché oben piana yo.
Le fleuriste qui était installé dans ma rue a fermé.,Floris la ri a rété oben mwen a foumenmen fèmen.
Nous sommes en train de chercher quelqu’un qui nous entraînera.,Nou ka chèché oben moun pou fè nou tchenbé.
"Ces jours-ci, l’économie du pays bat de l’aile","Sé jou-tala, lékonomi péi an mové état."
L’auvent grince doucement.,Solèy la ka pléré douceman.
Il dit que ce sont les Français qui prennent les arrêtés dans ce pays,Ou ka di sé Françé ki ka pran dékré adan péyi a.
Cet élève est un peu trop irrespectueux à mon gré.,Sa élèv la ka ped ké on ti tanplè mantjé bwa'y ké fè'y byen.
Mon fils va chercher une calebasse d’eau pour ta mère.,Fil-la p'al chèché kalbas dolo pou manman-ou.
Mais comme Rosalien est quelqu’un qui s’y connaît en matière de sentiments….,Men kon Rosalien se yonn ki konnen anpil bagay sou santi-mwen yo….
Seuls les fourches bourdonnent au-dessus de nos têtes.,Sèlman fouch yo fèb an silans oswè-a.
Le prête ne sait pas qui a engrossé la fille de madame Bernard,An prèt pa sav ki fèt machann pitit Man Bernard.
Elle félicite les élèves qui se trouvent au premier rang.,Ali fè plézi oben alévwa ek lèlèv ki an prèmié plas.
Seuls les gamins jouent avec ce qu'ils ont dans leur assiette.,Sèlman timoun yo ap jwe ak manje yo.
"Elle se souvenait de la façon avec laquelle sa tante, Philomène, détestait l’entendre.",Sé ki jan l té ka fè pou yo ka détesté l ki té ké rivé adan tèt'y.
Le vent du nord les entraîne vers le bas.,Van-nò a ka mennen yo anba.
"Cette affaire de diarrhée, de coqueluche et de rougeôle qui se répandait sans que nous ayions le moindre remède pour les soigner.",Sa yo bagay lajan ki ka fè yo polita.
Je donnerais un grand festin pour tous mes camarades.,Mwen ta fè on gran bwèdé pou tout zanmi mwen yo.
Les gens du bourg ne payaient plus le charbon.,Moun lavil la pa t'achte chabon ankò.
Un énorme 4/4 roule tranquillement sur le trottoir.,"Yonn gwo wotè ka roulé douvan magazen-an, san presé."
Tu n’as pas encore nettoyé l’avant de la voiture.,Ou pa janmen netwayé davan machin-la.
J’ai couru jusqu’à rendre l’âme.,Mwen kouri pou mwen kouche.
Quand aigle eut fait quelques kilomètres il s’écria « Maître ! J’ai faim ! ».,"An sil fin fè kèk kilomèt, li ekri: ""Mèt, mwen grangou!"""
Toutes ces paroles d’amour affadissent la chanson.,Tout jan pwolonjé vini kokott la.
Avec une lavandière de la plantation Destourneaux appelée Noémise.,Ansanm ak youn lavandriyè nan plantasyon Desturno ki rele Noémise.
"Monsieur Dufour, rendu maussade par la présence et l’amabilité des étrangers.","Monsié Dufou, vini tris pasé yo."
Avec tout l’argent que j’ai mis à la quête,An tout lè mòn mwen mèt an l'émonêt.
La température monte à 100 degrés C pendant le jour.,La température monte à 100 dégrés C pendan jou.
Toutes les plantes qu'elles toucheront porteront en abondance.,Tout plante yo touche p'ap pèdi yo.
"Le cadavre au milieu de la fête qui court, saute au son de la voix et au rythme de la cadence.","An kò ki nan mitan dans yo ka kouwi, sote o swè a lapawòl épi andidan a bidim' la."
Elle m’a emballé le morceau de viande tellement elle a vu que j’étais furieux.,"An silans, lè-w té ka fach adan. Jòd-la, atè yo fè an montié jòd yo dako, sa ki fè  sa ki atann poul ta ni en ti gwoupman talendjé. Sa ki atann yo bay mannyok, yo ba yo frui, yo ba yo bisko, yo bouden ki zot ka sèvi a  boudèy. Dapré sa yo ka di,  poul-la ka sèvi adan, èvèk lòt dengdeng yo pé ka wèv."
"Vous n’avez été flétri par aucune maladie, ni frappé par aucune épée dans aucun grand combat.","Apa maladi pa ni fléri'w, ni dis ki pa ni ba yo fann'w."
Ils sont obligés de déguerpir de toutes leurs colonies.,I té oblijé pou déguerdjillé out koloni.
Une petite cassette remplie de pièces d'or qu'Emile avait tenue cachée.,Yonn ti kaset ki plen ak dlo ki Emil te ka kratché'y.
Ils étaient fâchés contre le Père Noël et la Mère Noël.,Yo té faché asi Pè Nwèl ek Madanm Nwèl.
C'est comme le bedeau qui a l'église met un étouffoir sur la bougie afin de l'éteindre.,Sé kon Sa ki fè gad ki boutékad ki mèt an bouchon doubwié ba bouji a fenmen’y.
On prétend même qu’il fait le souteneur à Paris.,Yo ka di menm i ka fè makakaj adan lalin.
Vous faîtes une espèce de petite chapelle.,Ou ka fè an espès ti chapèl.
Un sauvage qui brandissait un couteau d’abattoir.,Yonn ki té ka fè machann bètè ki té ka wouvri sòti.
Nous ne pouvons pas encore analyser la situation.,"Anlo ka di ""nou ké rété obenmen"" ; doubout, onlo ka di ""séré-nou bout""."
"Ne te mêle pas à mes affaires, s’il te plaît.","Pa mêle w fwa mwen, si'w plé."
Ce n’est pas moi qui vous raconterai à nouveau des contes.,Anou pa ni mwen oben mwen ki ké konté zot anlo.
La liberté est un combat que l’on mène au jour le jour !,Libèté a sé on batay ki ni pou mennen jou a jou !
Vêtu d'un short kaki ample et chiffonné.,Vètu d'on short kaki ladjè déchiré.
Il s’assurait que le pont était costaud.,I té ka asiré adan pon-an té solid.
La hauteur et la longueur des vagues s’agrandissent à mesure que le vent devient fort.,Lòtè an lòtè bwa yo fèmen bout.
On tue même les cochons de manière industrielle.,Yo touye kochon oben fason endistriyèl.
"Te voilà enfin, beau regard pour une journée dorée.","Jik jodi ouvè-tché-tchè, mè-pou-sidi an jou-ki-bò."
"Petit à petit, la tristesse s’empara du coeur de Matéo.","Pitié oben pitié, latristès vini chayé nan kè Matéo."
Sa queue était terrible et finissait par une griffe à chacune de ses extrémités.,"Nonm'krab-la té ka fè pè, ek i té ni on grif ki fini asou chak bout-li."
Rosalien devait en être à son douzième punch ce jour-là.,Rozalyann té ké ni dédwi ponch a yo jou-lasa.
"J’aimerais bien te demander qui a fait ces arbres, ces terrains rocheux, ce ciel sur nos têtes.","Mwen té ka woulé mandé'w ki moun ki fè sa yo, ki moun ki fè zéb, ki moun ki fè tè a woch, ek moun ki fè chemen anlè tè a oben moun ki bay kolòkòt a sèl nou ka wouvwenn anlè tè a."
Ton cœur s’enflamme à cause d’une peur qui tétanise celui d’autrui.,"Kè'w vini chofé, pas'ki on bout dè ki pétrifiyé on lot."
Je n'aime pas les gens qui font des bêtises.,Mwen pa renmen moun ki fè bêtiz.
Je n'étais jamais retourné au Gros-Morne depuis neuf ans que je vis à Fort-de- France.,Mwen té ja pa té rivé o Gwo-Mòn depi neuf an mwen ka rété an Fodfwans.
Je buvais son beau français parlé avec l’accent parisien.,Mwen té ka bwè bel fransé'y ki té ka vini di a ba'y ak aksan Pari.
"A ce moment la, il sortait furieux et jetait une flopée d’injures.","An lè sa a, i té ka sòti annpiépié é i té ka ladjé an bon chajnen mo."
"C’était quelque chose de trop réel, qui avait un côté définitif.",Sé té yonn oben kékréyòlach. Sa té ni yonn fò bout.
Il y aura profusion de poissons-volant et de daurades.,Ka ni anlo ti pwa won épi doubout.
Janvier a trompé décembre.,Janvye twonpe Desanm.
"Grandes fumées, grand feu, grand cratère.","Anlo difé, anlo fimen, anlo krater."
"Tout en haut du morne, là où il y a énormément de bois.","Anwo a mòn-la, adan anpil bwa."
L'eau des robinets coulant goutte à goutte dans l'arrière-cour des cases.,Dlo a koule gout pa gout nan lakou boutik la.
Et de m’envoyer à côté du chauffeur.,An mwen lajoliv adan atè oben jòl adan atè.
Ouah! Quelle jolie maison !,Ouaw ! Sa bel kay !
Toutes choses se rejoignent et s’échangent.,Tout bagay ka koze ek chanj oben ka échanj.
Un seul employé pour servir tant de gens.,Yonn sel moun pou sèvi tout moun.
Il connaît beaucoup de secrets.,I pé konnet anlo sèkrè.
"Il nous faut l'accepter, il sait ce qu'il fait.","Fò n'ap swiv obenkonsidere sa l'ap fè, paske l'ap byen konnen kisa l'ap fè."
"Eh bien, moi, il est à mon goût.","Eh biyen, mwen menm, sé yonn ki ka fè mwen trapé."
Ce soda contient trop de produits chimiques.,Ce soda ni twòp pwodwi chimik.
J’ai peur que nous ayons emprunté une voie assimilatrice.,"Mwen pé ké oben no é respwé asou ki senti, mé ké fè yo pran ki moun ki bonMwen pé ké oben no é respwé asou ki senti, mé ké fè yo pran ki moun ki onposib ki ni depi klorDépiléré Mwen pé ké oben no é respwé asou ki senti, mé ké fè yo pran ki moun ki onposib ki ni depi klorDépiléré !"
Senga court derrière lui afin de le frapper à coup de bec.,Senga ka kouri pou chasé'y adan lachabwidi.
Il y a ceux qui donnent des ordres.,Ni moun ka ba lòd.
Des gens désherbaient.,Nonm té anlèv-mal.
"Se brosser, se baigner le matin, toutes sortes de choses.","Bwosé zot, plonjé asou zot, bon maten, boutté sa yo ka fè."
Un camion de boissons gazeuses déchargeait quelques caisses près de l’épicerie de madame Sina dans un vacarme.,Yon kamion bwason gazez t-ap déchajé kèk bwason tou pré monté bò magazen madan Sina an fè yon fè atann.
"Aujourd’hui, les jeunes préfèrent le hamburger au pain beurré.","Ojoudwi, jenn moun yo pi renmen zamburger pase pen bwe."
Et il s’est fait prendre comme un gamin qui a fait beaucoup de vacarme.,"Et li té ka fè yonn sel bruit, kon an ti moun ki ké fè bétiz."
Je l’ai vu tellement appétissant que je l’ai suivi jusqu’ici.,Mwen wè'y si bon mwen swiv'y isi.
