request,answer
Tout leur plaisir consistait à inciter les gens qui n’avaient jamais tâté du jeu des dés à se lancer dans une partie de serbi.,"Tout' plaizi a yo té ka fè moun ki pa té janmen jwé dèyè wè oben dòmi doubout, pou yo vini jwé sibid."
Ceux qui se sont embarqués dans la banane après lui…,Sa ki t'ala toupatou banann' la...
"Car, tous les jours, pour que je n'aille pas marronner, on m'attache avec un petit cordon.","Pas jou, yo kaytjé mwen pou an pa fè fas."
Il s'était envoyé sept grogs.,Sépt grog té ka bwe'yé.
Je vous mets au défi de découvrir mes plumes ?,Mwen chalchwa'w adan' mwen' !
N’ouvre pas la bouche pour dire des paroles stupides.,Pa ouvè bouch aw pou di bétiz.
Il dormait chez sa grande-tante.,Sé laba i té ka dòmi.
Oseriez-vous vous moquer des ordres que j’ai donnés ?,Ozé-t-on riyé adan mésòd ki té ka fèt ?
Mano déclara cela d’une manière gauche.,Mano déklara sa adan an fason ki té konpliké.
Même si c’est la fonction essentielle.,Menmsi se fonksion prensipal la.
"Ce petit garçon ne mange pas, les vers lui piqueront la poitrine.",Ti gason sa ka manjé oben-ou ? Vièw ayo ké fè péché adan an bò ay.
N’êtes-vous donc pas sa mère ?,"Donc, an pa té ki sa moun ki té ka mandé mwen si an té sa manman'y ?"
Je passerai chez Eva prendre ta mallette.,Sa ké chèché-wiv chez Eva pou wéprann'ot' valiz.
Le cheval qui a la grosse crinière.,An ti chwal ki ni an gwo tèt.
"La forêt n’est pas souillée, c’est formidable.",La fowè fwansé pa ekzilé.
"C’est à ce moment-là qu’elle vit une fille si belle, si appréciable, qu’elle crut qu’il s’agissait de la Sainte Vierge.","Sé adan lè sa a li wè an fi si jòn, si bel, atè oben-twa li kwè sé té Mary."
Où vit ta belle-sœur à présent ?,Ki kote tibèlè ou abite kounye a ?
"Les garçons faisaient déjà l’école buissonnière, le ventre rempli de cannes à sucre",Les ti gason té ja kay manjé grenn canne.
L’un d’eux avait pondu des oeufs de lézard.,Yonn te fè zéfiyen.
"Les grandes personnes qui ont réussi, grâce à l’argent, à gagner quelques miettes d’instruction.","Gran moun ki réisi, gras a lajan, fè on ti bout kò, ki pezé."
"A la manière d'agir de cet homme, il vous montre au contraire qu'il est intelligent.","An mannyè yo fèt'yé, i sé dwèt kon i ni dimoun'."
"C’est un remède composé d’huile de ricin, de miel et d’orange sucrée.","Sa sé on rémidi koté-toufé-a, dè l'ay dwa-chin, mèl épi zoranjadous."
Mais il avait pris une conduite.,Men lavié-a té ka kouté'y.
A côté d’un gros nid de fourmi.,Ajè dlo anty.
"Toute son arrogance s'était envolée, ce n'était plus la même femme.","Tout so vanité té ja pati, ce n'était pli menm fanm-la."
"Un jour qu’il était saoul, écoutez ce qu’il a déclaré à sa concubine.","Yonn jou lè l té bwè anpil, tann sa li di kon sa fanm li."
Il adorait toutes les femmes.,Tout fanm té ka fè'y konnetizé.
Il a perdu toutes ses épargnes quand sa maison a brûlé.,Sété kon toutjan ekarga'y ki té viré achté an kay apré-li brilé.
"Mais c’est toi qui leur a appris à quelle lune planter, à quelle lune fouiller.",Mé sé ou ki té ka fè sa ba yo.
Les béliers ont écrasé le coq.,Mouton ka fouté chouval.
"Il a infligé une cinglante défaite aux soldats de Bonaparte, puis les a jetés à la mer.","Ni ba solda Bonapart an on gran kout fessé, ni mennen yo jété an lamer."
Et il entra dans la maison à la recherche d’un couteau.,"I té ka maché monté adan kay la, asi pwen an kévwa youn kouto."
Macaque en vint à gagner toute la somme d’argent.,Singe fini touche chouval.
Il se moquait de l’autre.,An ti toubè é ki'yé.
Laisse le directeur déduire ce qu’il veut !,Lajé direktè ka dédidé sa i pé !
"Porte-moi, berce-moi, caresse-moi !","Pòté mwen, bèso mwen, kâwèsé mwen !"
Un gentleman comme lui aurait fait quelque chose d’aussi malhonnête ?,Yonn nonm kon sa ta fè on bagay konsa ?
C’était le dernier rejeton de la lignée d’Eudipe.,Sé té niyèm é dényé déstantsilè d'Eudipe.
Mais nous reprendrons cette conversation un autre jour.,Men nou ka rekoumansé konvèsasyon-an anlo.
Sur une île appellée Madinina,"Sous an tibwen soleil plasé asi an péyi konpwatibi- a, asi an péyi nou ka rivé dousman, an péyi ki ni non an Madinina."
"Au milieu de tous ces défoulements, Vaval appelait au secours car il était tout seul.","An mitan tout biten sa yo, Vaval té ka mandé sekou pas i té tout seul."
"Enfin, toute une litanie éclata.","Anfen, an chire konsonmen eklate."
"Ici, il y avait des hectares et des hectares de terres où il pouvait gambader.","Isi, té ni dé-ka-dé karé-tè ki té ka pèmèt-li gadé bo kè."
Accoucher quelqu'un leur permettait de mener une existence pleine d'harmonie.,Akouché yon moun te pèmèt yo mennen yon lavi plen a wiskòd.
Ils peuvent t’avaler d’un seul coup sans que tu aies le temps de ciller.,Yo ka avalé'w an selkoup san'w pa ni tan pou'w fèmen'y.
"Cheval, mon cher, tu iras chercher Colibri.","Chwal, kon sa ou ka wè, ou ké alé chèché Kolibri."
Elle était extrêmement laide.,Sé té anlè adan'y.
"Il avance porté, par la cadence.","An avanse asi, adan rytm."
On aurait dit que j’ai vu deux coqs d’Inde dans la basse-cour.,Sa té kon an kay on ti bann dindon.
Tu n’étais pas obligé de venir cravaté à ce baptême.,O pa té ni pies pou vini adan batisman an kay-tan.
Un héros est venu nous délivrer !,Yonn an'nou vini sové'y.
Il n'avait plus la force pour engueuler les nègres qu'il surprenait à fainéanter.,I té ké fè plis lajan pou bay koutjolies ba nèg ki té ka fè lenj.
Il avait tout l’air d’un campagnard.,An chabenèt i té ka fèmen.
Il y en a d'autres qui crient : à bas ceci ! à bas cela !,Ni dot ki ka cwié : a ba sa ! a ba sa !
Où ton oncle a-t-il perdu son chéquier ?,Ki koté ton nonkl-tala pèdi chèk-li ?
Et il envoya ses gardes chauffer une barre de fer afin de brûler Lapin.,I té ka gadé on bwa pou lapé bara lapen.
Il a jeté brusquement son sac par terre.,"I té ka maché vit, dépi i trapé zot asi paille a tabak."
La jalousie fait divaguer les gens.,Jalousi ka fè moun vwayajé.
Rosalien le lui prêtait facilement.,Rozalyn té ka prété'y san souci.
"Mais son frère Polinis, qui était banni…","Men frè'y Polinis, ki té an bann..."
Regarde bien s’il n’y aurait pas quelque gangrène.,Fòk ou gade adan si pa ni pasyon.
Monsieur Gaston leur avait donné à chacun un coup de barre derrière la tête.,Misié Gaston té ka ba yo chakenn an kout pyé bwa adan tèt.
"Monsieur Despointes, j'astique un peu votre carrosserie.","Monsyè Despoint, ja froté vwèman vwèman vwèman la ka-w."
Et une odeur de soufre en émanait.,Y té ka fété an lè asi adan'y.
Tu es un petit peu fétichiste.,Tala ni yon ti bout fétichis.
"A sa place, j’aurais été jaloux aussi, tu sais.",An mwen té ké jalou asi.
Bon. Mais c’est déjà l’heure de la pause.,Bon. Men sé obenlanjé adan.
Les maîtres d’école lapident les enfants dissipés.,Mèt lekòl ka lapidé timoun ki ka fè tro bad.
La Diablesse s’en alla dormir dans sa maison située sur l’emplacement de l’actuelle montagne Pelée.,La Djab sòti alé domi kay li ki té sitiyé atè Pelé.
"Monette, grande bringue qui marchait comme une bourrique...","Mònèt, gran fouaf ki té ka maché kon an bourik..."
C'est une manière de toujours alimenter le lien de rattachement .,Sé on fason toujou ranfòse lalwaaj.
Elle est longue donc ta vie sera longue.,An lontan ki ka vini longsé.
Il n’y a pas plus bête que Maurice.,Pa ni pi bet pase Moris.
"Mais la demoiselle était une sacrée vicieuse, d’ailleurs à bien des égards….","Men madanmwan té on vrè ti machann, an pé dir asi plizyè wot."
Cette femme a une démarche sensuelle.,Fout sa yo ka fèt adan'y!
Le sang meurt et puis la personne tombe gravement malade et meurt.,"Sang-la mouri, moun-la tonbé an sentilèz ek pimann-li mouri."
Une mère n’oubliera jamais son dernier enfant.,"Yonn ki ka ouvliéy, sé zotè-ou i ka plézanté."
Comme un tas de crabes attachés à une ficelle.,Sa fè kon yonn pakèt krab ki loté adiré'y.
La mort attendait dans son carénage.,La mòt té ka atann adan'y adan'y karénaj.
Ils avaient l'air d'être des mulets bien dressés.,Yo té ka fèyans kon moun ki ka kwè yo plis pase tou.
Avant que Chirac n’aborde la porte de la mairie.,Avan chirac pa vini mèd davniè.
Combien de stagiaires avons-nous pris l’an passé ?,Konbyen estachè nou té pran lanné pasé ?
"Aujourd’hui, il n’y a pas beaucoup de gens qui attrapent la tuberculose en Martinique.","Jòdi-ou, pa ni anpil moun ki chape latibekiloz an Matinik."
Ce n’est pas parce que Gisèle a deux enfants de deux pères différents qu’elle est une prostituée.,Sé pa paske Gisèle ni dé timoun ki ni dé papa ki fè'y sé on ti fi.
Ils marchent même accroupis.,Sé menmsi yo ka maché kon an krapo.
Parce qu’ils savent au fond de leur cœur que cela les soulagera.,Pas paske yo konnen o fon kè yo sa ké fè yo rété péritjé.
Qui nous servait de cuisine.,Ki té sèvi nou pou fè manj.
"Lorsque le bébé va à la selle, il a les excréments en forme de petits grains.","Lè bébé ka fè sòti'y, kèk fwa sòti'y ka ni fòm piti grenn."
J'étais tellement niaise que j'ai mal ramené le cerf-volant au sol.,"Mwen té si bèt, sé pou sa mwen té ka jété fòt."
Bien qu’il ne fût pas amateur de combats de coqs.,Si an pa ka alé adan bagay konsa-ou menm.
Je ne le repoussais pas d’une façon trop rustre.,Mwen pa té ka fè'y trap brus.
La respiration de tes veines s’affole comme une nuée de bestioles.,"Toutafwa, zot tan ka respire adan lè zot fèl kon si on chabwen ti moun an lè."
Il y en avait même un qui lui donnait à boire un philtre d’amour.,"Ni té ni an moun té ka ba'y an fil', oben adan an boudèy, oben an wouvzèl."
Il compte davantage sur sa force physique que sur son mental.,An ka konplé adan'y adan'y fòs'y-ka plis adan'y intèlijans'y.
"Célestin, tu sais que Stanilas abat une bête aujourd’hui ?","Sélestenn, sav ou si Stanylès touyen an bèt jòdi a ?"
J’étais obligé de supporter ce vacarme jusqu’à ce que la faim l’assaille.,Fok mwen té ka sipòté bara a jiskaske'y vini afaim.
"Après s’être libérés, ils ont continué à se battre au combat de damier.",Anlè yo te ka kwè yo ta pé fè sa?
"Presque dépourvue de cheveux, elle arrive à faire des nattes","Pwèske chivé, i ka fè twen."
Adelise ôta ses sandales et avança dans la boue.,Adeliz ota sav sannal épi avansé adan la gadou.
Certaines petites filles lui disaient hello.,Kon plizyè ti fi té ka di'y adyé.
Son métier était cordonnier.,Sé cordonnyé té kay ki mété'y.
Des nuages très isolés qui ressemblent à du coton ou à des cheveux fins et longs.,An chouval.
"Cet homme se prend pour quelqu’un d’instruit, mais il ne sait que réciter par cœur !","Sé on ti mèksan ki ka fè kon si'y savan, mé i pé ké sa ki ni dan'y ba'y !"
"Lorsque vous êtes perdu comme un marin sur la mer, en plein jour.","Lè'w pedan kon yon marin nan lari-a, nan mitan jou-a."
"Tu aurais cru qu’en te voyant faire une erreur, ils te remettraient l’argent ?",Ou té ké sipozé ki an wè zot fè an fok ?
Vous craignez que le froid vous dévore les os sous la terre de France ?,Ou pé ké ni anlo frè-aw si'w té ka viv an péyi a Glis la.
Saint-Elie avait demandé à sa secrétaire de faire une demande avec devis joint.,Sa te mandé sekretè- li fè yon demann avèk yon bidjè.
Ils attachent leurs chevaux afin de casser la croûte.,Yo ataché chwal yo pou yo manjé.
Il renverse la tête en arrière sur le dossier de son fauteuil.,I ka vèsé tèt-li an dèyè oben siyaj-li.
Les gens étaient très excités à l’apparition du chanteur.,Moun té ka ekzité a koté chante a.
Le grand Diable s’assit dans un grand et beau fauteuil.,Gwo Djab-la chita an yon bèl gwo fotèy.
"Je sais très bien que notre peuple est fichu, même si nous obtenons notre indépendance.","Mwen sav an bon kon sa péyi an nou ka alé adéyè, menm si nou jwenn endépandans."
"Depuis que Georges sait ce qui s'est passé, il ne veut pas en démordre.","Depi Jòj sav sa ki té pasé, i ka wè'y kon sa."
"C’est un endroit où gamin, j’allais cueillir mes icaques.",Sé onlò ki té ka pousé adan jaden-an.
Tout cela le préoccupait beaucoup,Tout sa té ka chagrin'y anlo.
"Si jamais j'achetais un beau kilo de poissons à mon beau-père, cela lui ferait plaisir.","Si janmen mwen té ké koté yonn bèl kilo pwason ba bèl papa mwen, sa té ké fè'y anvi."
Quand il vous avait becqueté à la tête.,Lè i té ka ouvè adan'w.
Notre homme se mit à descendre sur la terre.,Nonm-an nou okipe-la koumansé maché atè-a.
Le désespoir vous étouffe comme une hostie rassis.,La lespwa touye'w kon an vyann-egliz.
Comme les conteurs qui n'accordent pas plus de considération à la parole que ce,Sa adan lanmè ki pa pwan anpil lapalòl.
"A la différence de Georges, ton cousin n’est pas menteur.","An konparé a Jòj, pa menm janmanch ou menm pa niouèl lajounen, anlo ki pez-la."
"Ils disent que l'eau, surtout celle qui tombe du ciel, ne doit pas appartenir à untel ou untel.","Yo ka di ke dlo, oben pi red, ki ka tonbe oben ciel-la, pa ni pou ni la."
Un petit mot a pénétré dans un glissement à l’oreille de notre petite chérie.,Yonn ti mo ka pénétré adan on bel kout zié a tjenbé an nou zot.
C’est davantage la peine qui lui a enveloppé le cœur qu’une blessure.,Se té plis adan lapenn ki té ka fè'y soufè ke menm on fwi.
"A l’époque où le volcan n’avait pas encore détruit Saint-Pierre, il y avait un grossiste qui y vendait de la morue séchée.","An tan lontan, lè volkan pa té fin kraze ba la vi, té ni an grenndémi ki té ka vann mori disik la."
Quand quelqu’un a de graves ennuis il ne faut pas le noyer dans un verre.,"An moun ka fè anpil badibwès, fok pa enfimnen'y pli asou."
Il est le seul à savoir accorder les pianos.,An sel li ki sav kon sa koule a.
Le fleuriste qui était installé dans ma rue a fermé.,Floris-la ki té ka fè sa latet mwen-ouvè a fèmen.
Nous sommes en train de chercher quelqu’un qui nous entraînera.,Nou ka chèché yonn moun pou-ki ni-antréné nou.
"Ces jours-ci, l’économie du pays bat de l’aile","An tan-tala, ekonomi péyi a ka pété on zèl."
L’auvent grince doucement.,Solèy la ka koumansé fè adyé.
Il dit que ce sont les Français qui prennent les arrêtés dans ce pays,Sé Françé i ka pran dé-kré adan péyi-a.
Cet élève est un peu trop irrespectueux à mon gré.,Sé an ti chouval ki ja savann-ou.
Mon fils va chercher une calebasse d’eau pour ta mère.,Mwen menm jan avè mwen.
Mais comme Rosalien est quelqu’un qui s’y connaît en matière de sentiments….,"Mé adan lanmou, yo ka di li Marys kayilos."
Seuls les fourches bourdonnent au-dessus de nos têtes.,Sèlman fouch ka branzé o-ouvè tet-a-tet.
Le prête ne sait pas qui a engrossé la fille de madame Bernard,An savè pa ki fè madanm Bernard fi ansent.
Elle félicite les élèves qui se trouvent au premier rang.,Sé élév ki asiré an fwans oben an mathématik.
Seuls les gamins jouent avec ce qu'ils ont dans leur assiette.,Sé selman ti moun ki ka jwé avèk sa yo ni nan asyèt yo.
"Elle se souvenait de la façon avec laquelle sa tante, Philomène, détestait l’entendre.","Yo té ka rété adan la kay la, lè an ni tan pezé anlè sa."
Le vent du nord les entraîne vers le bas.,Nòd fèy a koule yo anba.
"Cette affaire de diarrhée, de coqueluche et de rougeôle qui se répandait sans que nous ayions le moindre remède pour les soigner.","Fèv-la, anlo bitasyon ni'y. Tout moun la éséyé rété oben yév out moun kon ki'y ka, mé ké fò yo ka'y ki moun ki yo ké yo ké yonn monté'y jòdi yo dèp'wé'y  épi atann'y ekon on vini'y."
Je donnerais un grand festin pour tous mes camarades.,Mwen p'ap bay yonn gwo fèt pou tout zanmi mwen.
Les gens du bourg ne payaient plus le charbon.,Moun lavil la pa t' vle redié bwa a plis.
Un énorme 4/4 roule tranquillement sur le trottoir.,Yon gwo kabwit ka roulé douvan lavil.
Tu n’as pas encore nettoyé l’avant de la voiture.,Ou pa ja netwayé dant an.
J’ai couru jusqu’à rendre l’âme.,Mwen té kouwi kon makak.
Quand aigle eut fait quelques kilomètres il s’écria « Maître ! J’ai faim ! ».,"Lè aigle té kay fè kèk kilomèt, i di: ""Mèt, mwen anvi manjé."""
Toutes ces paroles d’amour affadissent la chanson.,Tout pawòl lanmou sa yo ka fè chante lajanm.
Avec une lavandière de la plantation Destourneaux appelée Noémise.,An menm yon lavandriyè nan plantasyon Desfouno yo ki rele Noémise.
"Monsieur Dufour, rendu maussade par la présence et l’amabilité des étrangers.","Misié Dufour, faché kon sa pas an péi étranjé oben bienveni an nou."
Avec tout l’argent que j’ai mis à la quête,Toutjan mwen bay latè.
La température monte à 100 degrés C pendant le jour.,La létché ka monté a 100 démenchirè Celsis adan jou.
Toutes les plantes qu'elles toucheront porteront en abondance.,Tout biten yo ka froté a ké yo fè pli biten.
"Le cadavre au milieu de la fête qui court, saute au son de la voix et au rythme de la cadence.","An cadav an mitan a lafet ki kou, li danse oswa i dansé san oken propozisyon oben yonn respè."
Elle m’a emballé le morceau de viande tellement elle a vu que j’étais furieux.,"Sé kon sa li wè mwen té faché, ladjé mwen oben ti manmay lajoliv oben koté kòde."
"Vous n’avez été flétri par aucune maladie, ni frappé par aucune épée dans aucun grand combat.","Aou pa ni tanperati, ni koupié, ni menm pe-ni an batay."
Ils sont obligés de déguerpir de toutes leurs colonies.,I fo yo kite tout koloni yo.
Une petite cassette remplie de pièces d'or qu'Emile avait tenue cachée.,Yonn ti kasèt plen a fwa ki té ni zò dòt ki Emil té ka kaché.
Ils étaient fâchés contre le Père Noël et la Mère Noël.,Yo té fachés oben pè-Nonm Noèl oben manman Nwèl.
C'est comme le bedeau qui a l'église met un étouffoir sur la bougie afin de l'éteindre.,"Ni menm lè sa, la kou mé lè an mès ki ni nan an tikayé mété an kondo adan bouch oben dlo kay fouyé pou ki bri ka ni oben pou étiend."
On prétend même qu’il fait le souteneur à Paris.,Mé yo ka di tou sa pou di ki menm li ka fè makakéri a Pari.
Vous faîtes une espèce de petite chapelle.,Ou ka fè an kradchapèl.
Un sauvage qui brandissait un couteau d’abattoir.,"Yonn ka sòti an bwa, paret'yé an gwo machandizi."
Nous ne pouvons pas encore analyser la situation.,"Anlo, pa ni mannye asi lari a."
"Ne te mêle pas à mes affaires, s’il te plaît.","Pa mêle adan sa pa zot, joukou si zot plé."
Ce n’est pas moi qui vous raconterai à nouveau des contes.,Sé pa mwen ké rakonté'w zafer kont adan.
La liberté est un combat que l’on mène au jour le jour !,La libèté sé on kombat ki fok mennen chak jou !
Vêtu d'un short kaki ample et chiffonné.,Vètir d'un short kaki larj é fripé.
Il s’assurait que le pont était costaud.,An ka asiré adan'yé paw la té solid.
La hauteur et la longueur des vagues s’agrandissent à mesure que le vent devient fort.,Lòkti-ou byen longè flik dlo-a ogmante kon anbòkaj vansan.
On tue même les cochons de manière industrielle.,An ka touyé mèm cochon an fason endistri-ay.
"Te voilà enfin, beau regard pour une journée dorée.",Ou vlé joué adan lanmou.
"Petit à petit, la tristesse s’empara du coeur de Matéo.","Dousman, latwistès vini nan ke Matjé."
Sa queue était terrible et finissait par une griffe à chacune de ses extrémités.,Sò'y té ka mové a tel pwen ki chak bout'yé té ni on grif.
Rosalien devait en être à son douzième punch ce jour-là.,Rozelyen té ké ja an senti-awotchèk jou-tala.
"J’aimerais bien te demander qui a fait ces arbres, ces terrains rocheux, ce ciel sur nos têtes.","Mwen ta renmen mandew ki moun ki fè sa yo, ki moun ki fè solèy la, ki moun ki fè syèl la."
Ton cœur s’enflamme à cause d’une peur qui tétanise celui d’autrui.,Kè'w ka boule pas'ke'w ka pè.
Je n'aime pas les gens qui font des bêtises.,Mwen pa ka atjwè moun ki fè bétiz.
Je n'étais jamais retourné au Gros-Morne depuis neuf ans que je vis à Fort-de- France.,Mwen té ké fè lontan mwen té pé pa vini didan Gwo-Mònn. Sa fet an ba la vi-a-tan an.
Je buvais son beau français parlé avec l’accent parisien.,"Mwen té ka bwè adan'y bel franse li a, avèk aksan pari."
"A ce moment la, il sortait furieux et jetait une flopée d’injures.","An lè sa a, li té ka sòti anniévé épi i té ka ladjé an paké mojen."
"C’était quelque chose de trop réel, qui avait un côté définitif.","Sé té on bagay-tala vréman, i té ni on koté final."
Il y aura profusion de poissons-volant et de daurades.,Ka ni anlo twafis ek zotpié.
Janvier a trompé décembre.,Janvye t'adribin desanm.
"Grandes fumées, grand feu, grand cratère.","Anlo ki fimen, anlo difé, anlo kroutè."
"Tout en haut du morne, là où il y a énormément de bois.","Anwo adan mòn la, adan on bel bwa."
L'eau des robinets coulant goutte à goutte dans l'arrière-cour des cases.,Dlo a ka tonbé didan kay la.
Et de m’envoyer à côté du chauffeur.,Épi gadé ki bò kò'yé mwen.
Ouah! Quelle jolie maison !,Wouaw ! Sa bel kay !
Toutes choses se rejoignent et s’échangent.,Tout bagay ka vini ansanm épi yo ka chanjé.
Un seul employé pour servir tant de gens.,Yonn sèl moun ka travay adan restoran-an.
Il connaît beaucoup de secrets.,I ka konnèt anlo kachoti.
"Il nous faut l'accepter, il sait ce qu'il fait.","Fòk nou aksèpte sa, li konnen sa li ka fè."
"Eh bien, moi, il est à mon goût.","Eh bin, mwen menm, sé i ja ka fè mwen on tibel."
Ce soda contient trop de produits chimiques.,Sa a tchimbé beaucoup chimik.
J’ai peur que nous ayons emprunté une voie assimilatrice.,Sé jou a ou ké alé lavil.
Senga court derrière lui afin de le frapper à coup de bec.,Senga kouri pou vini bat tanbo a-ou.
Il y a ceux qui donnent des ordres.,Ni moun ki bay lòd.
Des gens désherbaient.,Moun té ka désherbé.
"Se brosser, se baigner le matin, toutes sortes de choses.","Foutéy bwa, fè bain lè maten-tala, tout sa ki ni pou fè."
Un camion de boissons gazeuses déchargeait quelques caisses près de l’épicerie de madame Sina dans un vacarme.,Yonn kamion bwasons gazeuses té ka vidé déké caiss bo koté tikay la manmad Sina lè an ti bagay la ja pedi silans li.
"Aujourd’hui, les jeunes préfèrent le hamburger au pain beurré.","Jòdi, jenn moun yo pito manjè sandwich salè piti biskwit."
Et il s’est fait prendre comme un gamin qui a fait beaucoup de vacarme.,Epi yo pran'y kon z'enf ki fè anpil chire.
Je l’ai vu tellement appétissant que je l’ai suivi jusqu’ici.,"Mwen wè'y té ka fè mwen on tèl bouch, mwen té ké sòtié'y oben mwen menm."
"Les femmes caressantes, les femmes douces, ne sont pas abandonnées par leur mari.","Sa ki ka renmen fè kâlins, sa ki dous, pa té ké lage yo."
Adelise aperçut Homère dans le groupe des grévistes.,Adeliz wè Omè nan mitan pakèt moun ki té ka fè grèv.
Ils furent accueillis comme des libérateurs.,Yo té ka fè yo konpwann yo té vinn pou sovgadé.
Ici il n’y a que des saoulards.,An ka di sa ki ka fèt adan.
Il s'agit d'un démantibulement sans pitié !,Sa sé on vre démantibulasion !
Comme une lame de rasoir sur le visage d’un homme.,Kon an lespé asi figi a on nonm.
La foi fait disparaître la misère.,La fwans ka fè disparèt' la mizè.
Kon jenn timoun dan lariviè ki ka kaskadé dépi mòn.,Se de ti moun ki ka kaskadé adan lariviè.
"Mais est-ce que les fantômes, les vampires existent vraiment ?","Men si lespri, vampi rélè !"
Il y a beaucoup d’apiculteurs dans cette commune.,I ni plizyè apikiltè adan koté a.
